State,2014_x,2015_x,2016_x,2017,2013_x,2014_y,2015_y,2016_y,2012_x,2013_y,2014_x,2015,2011_x,2012_y,2013_x,2014_y,2010_x,2011_y,2012_x,2013_y,2009_x,2010_y,2011_x,2012_y,2008_x,2009_y,2010_x,2011_y,2007_x,2008_y,2009_x,2010_y,2006_x,2007_y,2008_x,2009_y,2005_x,2006_y,2007_x,2008_y,2004_x,2005_y,2006_x,2007_y,2003_x,2004_y,2005_x,2006_y,2002_x,2003_y,2004_x,2005_y,2001_x,2002_y,2003_x,2004_y,2000,2001_y,2002,2003_y
North Dakota,2,.,.,2,2,2,.,1,4,2,2,.,1,4,2,2,2,1,4,2,.,2,1,4,2,.,2,1,.,2,.,2,2,.,2,.,.,2,.,2,2,.,2,.,.,2,.,2,1,.,2,.,2,1,.,2,2,2,1,.
Ohio,12,16,13,19,20,12,16,15,14,20,12,16,11,14,20,12,14,11,14,20,22,14,11,14,15,22,14,11,20,15,22,14,24,20,15,22,14,24,20,15,18,14,24,20,12,18,14,24,20,12,18,14,11,20,12,18,12,11,20,12
Oklahoma,5,6,4,6,7,5,7,4,3,7,5,7,4,3,7,5,6,4,3,7,7,6,4,3,3,7,6,4,4,3,7,6,5,4,3,7,4,5,4,3,9,4,5,4,9,9,4,5,1,9,9,4,5,1,9,9,10,5,1,9
Oregon,8,4,5,3,5,8,4,5,10,5,8,4,5,10,5,8,5,5,10,5,4,5,5,10,6,4,5,5,6,6,4,5,7,6,6,4,2,7,6,6,4,2,7,6,8,4,2,7,7,8,4,2,7,7,8,4,9,7,7,8
Pennsylvania,25,20,23,26,19,26,21,26,30,19,26,21,21,30,19,26,24,21,30,19,30,24,21,30,25,30,24,21,23,25,30,24,17,23,25,30,15,17,23,25,15,15,17,23,18,15,15,17,22,18,15,15,23,22,18,15,14,23,22,18
Rhode Island,.,1,1,1,.,.,1,1,1,.,.,1,.,1,.,.,.,.,1,.,3,.,.,1,.,3,.,.,2,.,3,.,2,2,.,3,.,2,2,.,1,.,2,2,1,1,.,2,1,1,1,.,1,1,1,1,1,1,1,1
South Carolina,5,7,4,6,10,5,9,4,4,10,5,9,6,4,10,5,6,6,4,10,6,6,6,4,8,6,6,6,10,8,6,6,9,10,8,6,10,9,10,8,6,10,9,10,5,6,10,9,13,5,6,10,8,13,5,6,9,8,13,5
South Dakota,.,.,.,.,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,2,.,.,.,1,2,.,.,1,1,2,.,.,1,1,2,.,.,1,1,.,.,.,1,1,.,.,.,1,1,.,.,.,1,1,.,3,.,1,1,.,3,.,1,2,.,3,.
Tennessee,7,13,7,7,5,8,13,8,10,5,8,13,14,10,5,8,7,14,10,5,4,7,14,10,20,4,7,14,7,20,4,7,13,7,20,4,11,13,7,20,11,11,13,7,13,11,11,13,7,13,11,11,13,7,13,11,6,13,7,13
Texas,38,23,32,39,24,42,24,39,31,24,42,24,32,31,24,42,28,32,31,24,31,28,32,31,31,31,28,32,47,31,31,28,49,47,31,31,44,49,47,31,42,44,49,47,51,42,44,49,44,51,42,44,47,44,51,42,34,47,44,51
Utah,2,.,1,2,3,2,.,1,2,3,2,.,2,2,3,2,2,2,2,3,1,2,2,2,2,1,2,2,.,2,1,2,1,.,2,1,.,1,.,2,5,.,1,.,2,5,.,1,2,2,5,.,2,2,2,5,3,2,2,2
Vermont,1,5,1,.,2,1,5,1,.,2,1,5,.,.,2,1,.,.,.,2,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,nodata,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,1,.,.
Virginia,9,10,10,11,9,9,13,10,6,9,9,13,8,6,9,9,6,8,6,9,7,6,8,6,5,7,6,8,5,5,7,6,7,5,5,7,3,7,5,5,2,3,7,5,6,2,3,7,11,6,2,3,4,11,6,2,8,4,11,6
Washington,7,14,6,21,12,8,16,6,11,12,8,16,14,11,12,8,11,14,11,12,14,11,14,11,10,14,11,14,10,10,14,11,13,10,10,14,14,13,10,10,19,14,13,10,13,19,14,13,13,13,19,14,18,13,13,19,14,18,13,13
West Virginia,6,2,3,7,10,6,2,3,7,10,6,2,5,7,10,6,1,5,7,10,5,1,5,7,4,5,1,5,7,4,5,1,5,7,4,5,5,5,7,4,6,5,5,7,7,6,5,5,2,7,6,5,4,2,7,6,8,4,2,7
Wisconsin,4,7,1,1,4,4,7,1,1,4,4,7,6,1,4,4,9,6,1,4,1,9,6,1,7,1,9,6,4,7,1,9,4,4,7,1,6,4,4,7,2,6,4,4,12,2,6,4,5,12,2,6,5,5,12,2,4,5,5,12
Wyoming,2,2,1,1,.,2,2,1,3,.,2,2,1,3,.,2,.,1,3,.,1,.,1,3,.,1,.,1,4,.,1,.,.,4,.,1,2,.,4,.,.,2,.,4,3,.,2,.,.,3,.,2,1,.,3,.,.,1,.,3
Tot,444,412,437,552,427,471,449,479,411,427,471,449,399,411,427,471,441,399,411,427,416,441,399,411,457,416,441,399,470,457,416,441,511,470,457,416,458,511,470,457,472,458,511,470,498,472,458,511,540,498,472,458,511,540,498,472,463,511,540,498
