,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA , 194 , 302 , 26 , 288 , -   , D , -   , 94 , -   , 21 , D , 22 , D , 10 , D , D , 202 , 336 , 34 , 406 ,,,,,,,,,,,,,,,,,,,,,
 California ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE , 925 , 619 , 118 ," 1,775 ", -   , D , -   , 10 , D , D , D , 20 , 15 , D , -   , 20 , 942 , 628 , 119 ," 1,825 ",,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP , 152 , 279 , D , 267 , -   , -   , -   , D , D , 59 , -   , 25 , -   , -   , -   , D , 154 , 338 , D , 300 ,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ," 2,325 "," 1,926 ", 216 ," 4,453 ", -   , 77 , D , 169 , 14 , 137 , 18 , 139 , 56 , 41 , D , 98 ," 2,395 "," 2,181 ", 241 ," 4,859 ",,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ," 2,587 "," 1,671 ", 233 ," 6,130 ", -   , 19 , D , 139 , 25 , 244 , D , 316 , 18 , 65 , D , 55 ," 2,630 "," 1,999 ", 247 ," 6,640 ",,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC ," 1,017 "," 1,380 ", 108 ," 2,794 ", -   , D , D , 11 , D , 655 , 10 , 425 , D , 13 , D , 19 ," 1,027 "," 2,054 ", 120 ," 3,249 ",,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ," 2,081 "," 1,459 ", 214 ," 3,848 ", -   , 24 , D , 53 , D , 221 , D , 66 , D , 35 , D , 13 ," 2,098 "," 1,739 ", 232 ," 3,980 ",,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ," 1,488 ", 780 , 104 ," 4,192 ", -   , 16 , -   , 41 , 32 , D , D , 86 , 12 , 25 , D , 30 ," 1,532 ", 825 , 106 ," 4,349 ",,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ," 1,610 "," 1,210 ", 188 ," 3,898 ", -   , 15 , D , 60 , D , 113 , 14 , 159 , 12 , 41 , D , 43 ," 1,630 "," 1,379 ", 211 ," 4,160 ",,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 2,512 "," 1,718 ", 133 ," 7,192 ", -   , 47 , 11 , 139 , 30 , 359 , 12 , 521 , 32 , 22 , D , 169 ," 2,574 "," 2,146 ", 157 ," 8,021 ",,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ," 1,275 ", 991 , 85 ," 3,424 ", -   , 58 , 10 , 158 , 13 , 172 , D , 185 , 21 , D , -   , 41 ," 1,309 "," 1,227 ", 100 ," 3,808 ",,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,801 "," 1,088 ", 210 ," 4,453 ", -   , 83 , 12 , 161 , D , 124 , D , 219 , 20 , 35 , D , 28 ," 1,830 "," 1,330 ", 232 ," 4,861 ",,,,,,,,,,,,,,,,,,,,,
 Colorado ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,335 ", 648 , 130 ," 5,234 ", -   , D , D , 27 , 43 , D , D , 125 , 26 , 43 , -   , 116 ," 1,404 ", 708 , 135 ," 5,502 ",,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 999 , 638 , 181 ," 2,504 ", -   , 16 , D , 74 , D , D , D , 43 , 10 , 74 , 12 , 23 ," 1,016 ", 731 , 200 ," 2,644 ",,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , 85 , -   , 42 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 85 , -   , 42 ,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,915 "," 1,193 ", 138 ," 4,332 ", -   , 73 , D , 214 , 28 , 66 , 11 , 153 , 129 , 66 , D , 335 ," 2,072 "," 1,398 ", 163 ," 5,034 ",,,,,,,,,,,,,,,,,,,,,
 Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 826 , 650 , 68 ," 1,965 ", -   , 18 , D , 31 ," 2,946 ", 872 , 91 ," 3,794 ", D , 17 , D , 12 ," 3,781 "," 1,557 ", 168 ," 5,802 ",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 628 , 258 , 54 ," 1,433 ", -   , D , D , 24 , 141 , 23 , D , 236 , D , D , -   , 21 , 773 , 290 , 56 ," 1,714 ",,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 741 , 562 , 77 ," 1,739 ", -   , D , D , D ," 3,287 ", 735 , 63 ," 4,089 ", 22 , 12 , D , 31 ," 4,050 "," 1,314 ", 151 ," 5,867 ",,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,371 ", 714 , 103 ," 4,088 ", -   , D , D , 11 ," 1,985 ", 282 , 49 ," 3,120 ", 17 , 35 , D , 14 ," 3,373 "," 1,040 ", 158 ," 7,233 ",,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,976 ", 772 , 159 ," 5,123 ", -   , 15 , D , 35 , 523 , 82 , 16 ," 1,256 ", 12 , 20 , -   , 71 ," 2,511 ", 889 , 182 ," 6,485 ",,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,537 "," 1,118 ", 161 ," 3,311 ", -   , 12 , D , D , 356 , 276 , 22 , 676 , D , 16 , D , D ," 1,898 "," 1,422 ", 188 ," 3,998 ",,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,443 ", 871 , 125 ," 3,553 ", -   , D , -   , 23 ," 1,357 ", 276 , 24 ," 2,051 ", 19 , 40 , D , 40 ," 2,819 "," 1,196 ", 153 ," 5,667 ",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,158 ", 805 , 128 ," 2,361 ", -   , D , -   , 37 , 533 , 207 , 12 , 669 , 28 , 24 , D , 74 ," 1,719 "," 1,039 ", 147 ," 3,141 ",,,,,,,,,,,,,,,,,,,,,
 Georgia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 2,963 "," 2,176 ", 248 ," 6,012 ", -   , 103 , D , 195 , 63 , 353 , D , 862 , 27 , 100 , 11 , 126 ," 3,053 "," 2,732 ", 268 ," 7,195 ",,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 411 , 354 , 25 , 711 , -   , -   , D , 12 , -   , -   , -   , D , -   , D , -   , 11 , 411 , 357 , 26 , 739 ,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 166 , 576 , 19 , 437 , -   , D , -   , -   , D , 296 , D , 126 , -   , -   , -   , 10 , 171 , 873 , 22 , 573 ,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,573 "," 2,829 ", 337 ," 9,343 ", -   , 41 , D , 160 , 44 , 25 , D , 238 , 24 , 37 , D , 63 ," 3,641 "," 2,932 ", 347 ," 9,804 ",,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 563 , 356 , 42 ," 1,054 ", -   , D , -   , 18 , 51 , 61 , D , 70 , 12 , D , D , 12 , 626 , 434 , 46 ," 1,154 ",,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 218 , 100 , 16 , 615 , -   , D , -   , D , 13 , 10 , D , 49 , D , 12 , -   , 15 , 238 , 129 , 19 , 685 ,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 221 , 129 , D , 498 , -   , -   , -   , D , 12 , 11 , -   , 63 , D , D , -   , 11 , 236 , 142 , D , 576 ,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 396 , 155 , 42 , 634 , -   , D , -   , D , 271 , 44 , D , 302 , 22 , 15 , -   , 12 , 689 , 220 , 45 , 957 ,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 701 , 209 , 53 ," 1,565 ", -   , D , D , D , 61 , 10 , -   , 182 , 53 , 12 , -   , 73 , 815 , 235 , 54 ," 1,828 ",,,,,,,,,,,,,,,,,,,,,
 Maine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 104 , 407 , 10 , 232 , -   , D , -   , D , D , 152 , D , 95 , -   , D , D , 14 , 112 , 573 , 15 , 343 ,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 2,317 "," 1,120 ", 109 ," 5,378 ", -   , 37 , D , 225 , 22 , 20 , D , 183 , 145 , 178 , D , 261 ," 2,484 "," 1,355 ", 129 ," 6,047 ",,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 2,021 "," 1,362 ", 140 ," 4,918 ", -   , 33 , D , 60 , 13 , 137 , D , 173 , 67 , 58 , D , 296 ," 2,101 "," 1,590 ", 161 ," 5,447 ",,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 713 , 343 , 60 ," 1,415 ", -   , 20 , -   , 25 , 10 , D , D , 38 , 13 , 31 , D , 76 , 736 , 401 , 66 ," 1,554 ",,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,005 "," 1,326 ", 102 ," 2,184 ", D , 17 , D , 26 , 39 , 101 , D , 116 , 17 , 21 , -   , 36 ," 1,063 "," 1,465 ", 110 ," 2,362 ",,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ," 1,004 ", 346 , 53 ," 2,543 ", -   , 11 , -   , 40 , 40 , 24 , D , 135 , 15 , D , D , 83 ," 1,059 ", 390 , 62 ," 2,801 ",,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 587 , 652 , 28 ," 1,053 ", -   , D , -   , 10 , 25 , 222 , D , 81 , 12 , 10 , D , 15 , 624 , 892 , 37 ," 1,159 ",,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 297 , 66 , 12 ," 1,084 ", -   , D , -   , 19 , D , D , -   , 33 , -   , D , -   , 33 , 300 , 74 , 12 ," 1,169 ",,,,,,,,,,,,,,,,,,,,,
 Montana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 70 , 127 , D , 222 , -   , -   , -   , D , -   , 59 , D , 68 , -   , D , -   , -   , 70 , 187 , D , 291 ,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 294 , 796 , 63 , 930 , -   , D , D , D , 150 , 358 , 23 , 223 , 16 , 32 , D , 12 , 460 ," 1,189 ", 91 ," 1,166 ",,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ," 1,058 ", 528 , 113 ," 2,762 ", -   , 10 , D , 13 , 384 , 58 , 14 , 510 , D , 19 , D , 50 ," 1,444 ", 615 , 135 ," 3,335 ",,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 118 , 496 , 20 , 979 , -   , D , -   , -   , -   , 339 , D , 443 , -   , D , -   , D , 118 , 840 , 28 ," 1,424 ",,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 148 , 167 , 12 , 335 , -   , D , D , D , D , 38 , D , 45 , D , -   , -   , D , 155 , 206 , 15 , 392 ,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 712 ," 1,112 ", 100 ," 1,657 ", -   , 13 , D , 56 , D , 363 , D , 203 , D , 18 , D , 14 , 724 ," 1,506 ", 111 ," 1,930 ",,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,399 "," 3,193 ", 258 ," 11,045 ", -   , 55 , 17 , 209 , 217 , 596 , 23 ," 1,998 ", 36 , 37 , D , 111 ," 3,652 "," 3,881 ", 306 ," 13,363 ",,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 264 , 310 , 20 , 666 , -   , -   , -   , D , 29 , 125 , -   , 45 , D , 13 , -   , 13 , 294 , 448 , 20 , 725 ,,,,,,,,,,,,,,,,,,,,,
 New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 215 , 101 , 21 , 465 , -   , -   , -   , 19 , D , -   , -   , 21 , D , -   , -   , D , 219 , 101 , 21 , 514 ,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 319 , 572 , 33 , 700 , -   , D , D , 16 , 96 , 211 , D , 184 , D , D , -   , 14 , 424 , 792 , 41 , 914 ,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 2,905 "," 1,428 ", 200 ," 7,496 ", -   , 30 , D , 142 , 15 , 61 , -   , 138 , 193 , 165 , 26 , 360 ," 3,113 "," 1,684 ", 230 ," 8,136 ",,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 6,386 "," 4,517 ", 733 ," 17,032 ", -   , 72 , 10 , 302 , 30 , 464 , 26 , 962 , 173 , 274 , 37 , 614 ," 6,589 "," 5,327 ", 806 ," 18,910 ",,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 2,008 "," 1,406 ", 168 ," 5,876 ", -   , 41 , D , 117 , 13 , 179 , 18 , 280 , 56 , 124 , 22 , 158 ," 2,077 "," 1,750 ", 216 ," 6,431 ",,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 945 , 645 , 48 ," 1,545 ", -   , D , D , D , 67 , 220 , D , 156 , 24 , 13 , D , 37 ," 1,036 ", 883 , 55 ," 1,744 ",,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 888 , 698 , 76 ," 1,472 ", -   , D , -   , 15 , 17 , 129 , D , 66 , 18 , 25 , D , 47 , 923 , 860 , 81 ," 1,600 ",,,,,,,,,,,,,,,,,,,,,
 Ohio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 282 , 225 , 31 , 503 , -   , D , D , 11 , D , 34 , D , 21 , D , D , 23 , 26 , 290 , 263 , 56 , 561 ,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 392 , 259 , 39 , 643 , -   , D , -   , D , D , 10 , D , 20 , D , D , D , 12 , 403 , 278 , 42 , 684 ,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 403 , 225 , 37 , 652 , -   , -   , -   , D , 14 , D , D , 33 , 12 , D , -   , 39 , 429 , 237 , 41 , 729 ,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 565 , 447 , 40 ," 1,313 ", -   , 10 , D , 19 , 11 , 28 , D , 103 , 14 , D , D , 91 , 590 , 492 , 44 ," 1,526 ",,,,,,,,,,,,,,,,,,,,,
 Oregon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO , 776 , 630 , 49 ," 1,550 ", -   , 14 , D , 29 , 59 , 17 , D , 113 , D , 22 , -   , 17 , 840 , 683 , 56 ," 1,709 ",,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ," 1,752 "," 2,255 ", 214 ," 4,238 ", -   , 38 , D , 102 , 73 , 927 , D , 753 , 27 , 190 , 10 , 67 ," 1,852 "," 3,410 ", 239 ," 5,160 ",,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT , 337 , 413 , 21 , 700 , -   , D , -   , 14 , -   , 76 , -   , 88 , D , D , -   , D , 341 , 500 , 21 , 808 ,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO , 296 , 540 , 28 , 587 , -   , D , -   , D , D , 252 , D , 41 , D , 23 , -   , 32 , 307 , 818 , 32 , 662 ,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL , 490 , 279 , 37 , 978 , -   , 10 , -   , 14 , 36 , D , D , 43 , 10 , 12 , D , 29 , 536 , 302 , 41 ," 1,064 ",,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM , 903 , 627 , 41 ," 1,422 ", -   , 23 , D , 57 , 54 , 69 , D , 121 , 38 , 26 , D , 217 , 995 , 745 , 50 ," 1,817 ",,,,,,,,,,,,,,,,,,,,,
 Texas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ," 3,654 "," 2,937 ", 347 ," 11,279 ", -   , 54 , D , 152 , 238 , 256 , D , 659 , 109 , 183 , 17 , 559 ," 4,001 "," 3,430 ", 378 ," 12,649 ",,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP , 887 , 560 , 56 ," 1,885 ", -   , D , D , 11 , 65 , 157 , D , 95 , D , D , D , 21 , 960 , 721 , 62 ," 2,012 ",,,,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG , 949 , 794 , 63 ," 2,115 ", -   , D , -   , 13 , 20 , 214 , D , 89 , D , 23 , D , 37 , 975 ," 1,035 ", 70 ," 2,254 ",,,,,,,,,,,,,,,,,,,,,
, Houston  , HOU ," 3,656 "," 1,791 ", 311 ," 11,628 ", -   , 70 , D , 109 , 931 , 224 , 13 ," 1,605 ", 64 , 40 , 11 , 470 ," 4,651 "," 2,125 ", 343 ," 13,812 ",,,,,,,,,,,,,,,,,,,,,
, San Antonio  , SNA ," 2,063 "," 1,247 ", 134 ," 4,331 ", -   , D , D , 47 , 290 , 34 , D , 415 , 52 , 16 , 34 , 233 ," 2,405 "," 1,303 ", 173 ," 5,026 ",,,,,,,,,,,,,,,,,,,,,
 Utah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC , 761 , 595 , 44 ," 1,618 ", -   , 19 , D , 22 , 12 , 153 , D , 59 , 10 , D , D , 24 , 783 , 775 , 55 ," 1,723 ",,,,,,,,,,,,,,,,,,,,,
 Vermont ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA , 73 , 109 , D , 115 , -   , D , -   , D , D , 33 , -   , 21 , -   , D , -   , -   , 74 , 145 , D , 141 ,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR , 632 , 422 , 42 ," 1,495 ", -   , 24 , -   , 50 , 26 , 126 , D , 94 , 38 , D , -   , 63 , 696 , 580 , 45 ," 1,702 ",,,,,,,,,,,,,,,,,,,,,
 Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ," 1,435 "," 1,223 ", 82 ," 2,961 ", -   , 16 , D , 69 , 25 , 29 , D , 78 , 19 , 18 , 13 , D ," 1,479 "," 1,286 ", 103 ," 3,117 ",,,,,,,,,,,,,,,,,,,,,
, Spokane  , SPO , 83 , 180 , 15 , 247 , -   , D , -   , 13 , D , 16 , D , D , D , D , -   , D , 85 , 198 , 17 , 275 ,,,,,,,,,,,,,,,,,,,,,
, Yakima , YAK , 225 , 171 , 13 , 442 , -   , D , -   , D , D , D , -   , D , D , D , -   , D , 229 , 184 , 13 , 452 ,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL , 425 , 289 , 43 , 997 , -   , D , -   , 18 , D , 21 , D , 75 , -   , D , -   , 41 , 429 , 319 , 44 ," 1,131 ",,,,,,,,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA , 132 , 245 , 17 , 530 , -   , D , -   , D , -   , 120 , -   , 173 , -   , -   , -   , D , 132 , 367 , 17 , 713 ,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA , 31 , 46 , 10 , 45 , -   , -   , -   , -   , D , D , -   , D , -   , -   , -   , D , 33 , 48 , 10 , 56 ,,,,,,,,,,,,,,,,,,,,,
, Christiansted  , CHR , 15 , D , D , 57 , -   , -   , -   , -   , -   , -   , -   , 11 , -   , -   , -   , -   , 15 , D , D , 68 ,,,,,,,,,,,,,,,,,,,,,
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ , 183 , 120 , 10 , 492 , -   , D , -   , -   , 14 , 33 , -   , 70 , -   , -   , -   , D , 197 , 154 , 10 , 566 ,,,,,,,,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, California , WSC , D , 12 , D , 378 , 629 , 417 , 18 ," 1,941 ", -   , -   , -   , 11 , -   , -   , -   , -   , 630 , 429 , 19 ," 2,330 ",,,,,,,,,,,,,,,,,,,,,
, Nebraska , NSC , -   , -   , -   , -   ," 20,606 "," 16,399 ", 699 ," 61,074 "," 20,893 "," 20,261 ", 298 ," 40,711 ", -   , -   , -   , -   ," 41,499 "," 36,660 ", 997 ," 101,785 ",,,,,,,,,,,,,,,,,,,,,
, Texas , SSC , -   , -   , -   , -   ," 13,091 "," 17,195 ", 932 ," 53,721 "," 5,925 "," 7,224 ", 183 ," 13,659 ", 19 , D , 26 , 55 ," 19,035 "," 24,425 "," 1,141 "," 67,435 ",,,,,,,,,,,,,,,,,,,,,
, Vermont , ESC , 26 , -   , 14 , 142 , D , -   , D , 36 , D , D , D , 26 ," 6,934 "," 5,807 ", 524 ," 16,739 "," 6,966 "," 5,812 ", 541 ," 16,943 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 92,450 "," 69,011 "," 8,084 "," 229,028 "," 34,332 "," 35,420 "," 1,856 "," 120,828 "," 41,903 "," 40,436 "," 1,131 "," 86,279 "," 8,845 "," 8,336 ", 913 ," 22,731 "," 177,530 "," 153,203 "," 11,984 "," 458,866 ",,,,,,,,,,,,,,,,,,,,,
