OFFICE,FY,I-485 Asy Receipts,I-485 Asy Approvals,I-485 Asy Denials,I-485 Asy Pending,I-485 Ref Receipts,I-485 Ref Approvals,I-485 Ref Denials,I-485 Ref Pending,I-485 Indo Chin Receipts,I-485 Indo Chin Approvals,I-485 Indo Chin Denials,I-485 Indo Chin Pending,I-485 Employ Receipts,I-485 Employ Approvals,I-485 Employ Denials,I-485 Employ Pending,I-485 Fam Receipts,I-485 Fam Approvals,I-485 Fam Denials,I-485 Fam Pending,I-485 Cuban Receipts,I-485 Cuban Approvals,I-485 Cuban Denials,I-485 Cuban Pending,I-485 Others Receipts,I-485 Others Approvals,I-485 Others Denials,I-485 Others Pending
LAC,2012,0,52,5,47,1,7,0,3,0,1,0,0,0,144,40,83,4137,3087,443,3733,33,35,2,16,83,177,86,77
LAW,2012,0,14,0,7,0,51,7,3,0,0,0,2,0,34,1,11,2106,1678,170,795,10,7,3,8,90,73,5,96
LNY,2012,0,69,5,22,0,5,1,15,0,0,0,0,0,125,78,15,6325,6618,723,3780,30,27,2,10,103,108,51,95
LOS,2012,0,142,25,61,7,49,3,21,0,1,0,0,0,509,142,83,10149,10768,1551,4730,78,88,15,17,190,630,75,110
LOU,2012,0,11,0,4,5,46,12,37,0,0,0,0,0,13,0,15,875,599,104,389,520,361,13,131,21,28,3,4
LVG,2012,1,31,6,0,4,30,1,4,0,0,0,0,0,33,5,65,2851,2653,371,1596,495,412,31,172,12,80,8,26
MAN,2012,0,4,1,5,7,13,4,5,0,0,0,0,0,10,2,7,508,357,40,196,2,2,0,6,7,16,0,0
MEM,2012,0,42,5,7,7,42,12,22,0,0,0,0,0,67,6,33,2323,1811,255,846,72,28,14,35,29,31,3,70
MIA,2012,0,40,10,0,10,30,4,3,0,0,0,0,0,49,6,11,3612,3208,485,1787,5308,3737,408,1124,45,55,11,31
MIL,2012,5,5,6,3,33,30,6,12,0,0,0,0,0,28,4,69,1305,1035,111,486,24,20,0,9,15,30,12,0
MTL,2012,0,8,1,2,2,13,14,13,0,0,0,0,0,80,31,12,2243,1853,323,925,10,1,0,4,30,64,13,4
NEW,2012,0,50,7,12,7,8,2,11,0,0,0,0,0,348,126,44,10978,9544,1645,4231,578,457,44,163,110,325,54,236
