,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 83,464 "," 64,192 "," 8,353 "," 247,062 "," 30,745 "," 20,798 "," 1,882 "," 129,424 "," 44,233 "," 38,279 "," 1,244 "," 90,968 "," 8,088 "," 6,615 "," 1,397 "," 22,650 "," 166,530 "," 129,884 "," 12,876 "," 490,104 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 506 , 228 , 32 ," 1,474 ", -   , 15 , D , 17 , 16 , D , -   , 78 , D , 12 , D , 101 , 528 , 261 , 35 ," 1,670 ",,,,,,,,,,,,,,,,,,,,,
 Oregon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO , 697 , 819 , 48 ," 1,561 ", -   , D , -   , 25 , 81 , 46 , D , 123 , D , D , D , 12 , 782 , 874 , 51 ," 1,721 ",,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ," 1,685 "," 1,949 ", 193 ," 4,846 ", -   , 15 , D , 99 , 61 , 982 , 17 , 625 , D , 47 , D , 30 ," 1,747 "," 2,993 ", 218 ," 5,600 ",,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT , 307 , 325 , 34 , 700 , -   , D , -   , 24 , D , 91 , D , 69 , D , D , -   , -   , 315 , 430 , 37 , 793 ,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO , 310 , 458 , 40 , 673 , -   , D , -   , D , D , 187 , D , 53 , -   , 21 , -   , 20 , 313 , 669 , 42 , 751 ,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL , 434 , 512 , 58 , 977 , -   , D , -   , 15 , 22 , 64 , D , 69 , D , 19 , D , 19 , 457 , 600 , 61 ," 1,080 ",,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM , 813 , 427 , 48 ," 1,717 ", -   , 15 , -   , 79 , 92 , 75 , D , 199 , 15 , 15 , -   , 247 , 920 , 532 , 50 ," 2,242 ",,,,,,,,,,,,,,,,,,,,,
 Texas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ," 2,995 "," 1,947 ", 300 ," 11,353 ", -   , 41 , D , 177 , 308 , 32 , D , 762 , 37 , 60 , D , 645 ," 3,340 "," 2,080 ", 323 ," 12,937 ",,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP , 783 , 648 , 43 ," 2,258 ", -   , 11 , -   , D , 46 , 74 , D , 115 , D , D , -   , 28 , 836 , 742 , 45 ," 2,407 ",,,,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG , 810 , 740 , 89 ," 2,363 ", -   , D , -   , D , 35 , 129 , D , 160 , 12 , 11 , D , 38 , 857 , 886 , 94 ," 2,568 ",,,,,,,,,,,,,,,,,,,,,
, Houston  , HOU ," 3,516 "," 1,050 ", 291 ," 13,532 ", -   , 30 , 12 , 192 ," 1,286 ", 174 , 19 ," 2,220 ", 19 , 68 , 33 , 486 ," 4,821 "," 1,322 ", 355 ," 16,430 ",,,,,,,,,,,,,,,,,,,,,
, San Antonio  , SNA ," 1,805 ", 910 , 132 ," 4,991 ", -   , 16 , D , 53 , 406 , 40 , -   , 584 , 38 , 32 , 36 , 249 ," 2,249 ", 998 , 173 ," 5,877 ",,,,,,,,,,,,,,,,,,,,,
 Utah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC , 799 , 782 , 60 ," 1,566 ", -   , 13 , -   , 33 , 18 , 64 , D , 65 , D , D , D , 19 , 822 , 868 , 66 ," 1,683 ",,,,,,,,,,,,,,,,,,,,,
 Vermont ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA , 73 , 130 , D , 223 , -   , D , D , D , D , 31 , D , 13 , -   , -   , -   , -   , 78 , 168 , 10 , 240 ,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR , 550 , 557 , 69 ," 1,450 ", -   , 14 , 10 , 41 , 18 , 152 , D , 94 , D , 22 , D , 31 , 571 , 745 , 89 ," 1,616 ",,,,,,,,,,,,,,,,,,,,,
 Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ," 1,400 ", 724 , 82 ," 3,518 ", -   , 18 , D , 70 , 27 , 23 , D , 105 , 22 , 16 , D , 53 ," 1,449 ", 781 , 91 ," 3,746 ",,,,,,,,,,,,,,,,,,,,,
, Spokane  , SPO , 96 , 178 , 17 , 313 , -   , D , -   , 10 , D , 26 , -   , 53 , -   , D , D , D , 97 , 210 , 18 , 380 ,,,,,,,,,,,,,,,,,,,,,
, Yakima , YAK , 199 , 218 , 32 , 470 , -   , -   , -   , D , 16 , 22 , D , 16 , -   , D , D , D , 215 , 241 , 34 , 491 ,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL , 459 , 425 , 44 ," 1,003 ", -   , D , D , 17 , 11 , 72 , D , 43 , D , D , D , 24 , 475 , 512 , 48 ," 1,087 ",,,,,,,,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA , 200 , 252 , 27 , 441 , -   , -   , D , D , -   , 55 , D , 42 , D , D , D , D , 205 , 308 , 31 , 492 ,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA , 46 , 98 , 10 , 64 , -   , -   , -   , D , -   , D , D , 15 , -   , D , -   , D , 46 , 108 , 13 , 82 ,,,,,,,,,,,,,,,,,,,,,
