"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"October 1 - December 31, 2013",, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
USCIS Field Office or Service Center Location,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"68,185","60,495","6,936","156,013","30,568","31,702","1,824","117,892","39,089","31,289","1,156","73,674","6,511","4,617",853,"17,573","144,353","128,103","10,769","365,152"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
, Portland  ,563,454,43,996, -   ,15, D ,23,68,23, D ,100, D , D , D ,12,640,500,47,"1,131"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,
, Philadelphia ,"1,327","1,379",149,"2,688", -   , D , D ,23,52,77, D ,213,16, D , D ,26,"1,395","1,474",164,"2,950"
, Pittsburgh  ,277,154,27,435, -   , D , D , D , D ,10, D , D , D , D , -   ,14,280,175,31,464
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,
, Providence  ,208,192,20,348, -   , D , -   , D , -   , D , -   ,11, D , D , D , D ,210,197,21,366
 South Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charleston  ,332,251,30,705, -   , D , D ,37, D , D , -   ,26, D , D , -   ,12,341,268,32,780
 Tennessee ,,,,,,,,,,,,,,,,,,,,,
, Memphis  ,655,575,34,"1,185", -   , D , -   ,19,42,21, D ,91,11, D , -   ,10,708,610,35,"1,305"
 Texas ,,,,,,,,,,,,,,,,,,,,,
, Dallas  ,"2,098","1,470",156,"6,345", -   ,28, -   ,95,77,24, D ,286,15,18, -   ,110,"2,190","1,540",162,"6,836"
, El Paso  ,665,674,74,"1,149", -   , D , -   , D ,17, D , D ,41,10, D , D ,23,692,686,76,"1,217"
, Harlingen  ,772,770,96,"1,451", -   , -   , D , D ,12,13, -   ,44,27,33, -   ,48,811,816,97,"1,547"
, Houston  ,"2,625","2,283",250,"4,854", -   ,63,13,45,370,293,10,728,27,65,12,465,"3,022","2,704",285,"6,092"
, San Antonio  ,"1,450","1,323",124,"2,562", -   ,21, -   ,21,123,91, D ,194,32,18, D ,53,"1,605","1,453",133,"2,830"
 Utah ,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  ,530,303,51,"1,287", -   , D , D ,17, D , D , D ,20, D ,17, -   ,41,542,338,54,"1,365"
 Vermont ,,,,,,,,,,,,,,,,,,,,,
, St. Albans  ,44,348, D ,123, -   , -   , -   , D , -   ,12, -   , D , D , -   , -   , D ,45,360, D ,129
 Virginia ,,,,,,,,,,,,,,,,,,,,,
, Norfolk  ,471,406,32,794, -   ,15, D ,18,19,20, D ,45, D ,23, D ,21,498,464,36,878
 Washington ,,,,,,,,,,,,,,,,,,,,,
, Seattle  ,"1,165",913,77,"1,973", -   ,66, D ,27,37,19, D ,88,12,22, D ,34,"1,214","1,020",91,"2,122"
, Spokane  ,79,72,20,100, -   , D , -   , D , -   , D , -   ,35, D , D , -   ,13,83,81,20,150
, Yakima ,133,292,23,251, -   , D , -   , -   , D ,21, -   ,14, D ,11, -   , D ,138,326,23,266
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  ,388,368,31,805, -   ,18, -   ,22, D ,12, D ,32, D ,16, D , D ,401,414,34,862
,,,,,,,,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,
, Hagatna ,136,136,19,270, -   , D , D , D , -   , D , -   , -   , -   , D , -   , D ,136,143,21,274
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie ,22,19, D ,50, -   , -   , -   , -   , -   , D , -   , -   , -   , -   , D , -   ,22,20, D ,50
, Christiansted  , D , D , D ,39, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D , D , D ,39
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,
, San Juan  ,162,135,11,484, -   , D , -   , D ,18,19, D ,80, -   , D , -   ,11,180,158,12,578
,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,
, California , -   ,95,20,517,"1,080",118,18,"1,357", -   ,17, D ,89, -   , -   , -   , -   ,"1,080",230,41,"1,963"
, Nebraska , -   , -   , -   , -   ,"11,216","13,273",747,"44,228","21,562","16,551",378,"32,459", D ,13, D , D ,"32,787","29,837","1,129","76,691"
, Texas , -   , -   , -   , -   ,"18,266","16,455",800,"69,431","6,776","3,851",162,"11,938", D , D , D ,36,"25,044","20,311",963,"81,405"
, Vermont ,38, -   ,13,173, D , -   , -   , D , D , -   , -   ,18,"5,518","3,012",596,"12,042","5,567","3,012",609,"12,241"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,
"""-' Represents zero.",,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awating a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), February 2014",,,,,,,,,,,,,,,,,,,,,
