,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,Family-based1,,,,Employment-based1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,," 74,115 "," 77,717 "," 7,943 "," 144,730 "," 35,152 "," 41,641 "," 2,434 "," 374,759 "," 38,388 "," 39,913 "," 1,287 "," 66,472 "," 6,627 "," 4,814 ", 965 ," 17,773 "," 154,282 "," 164,085 "," 12,629 "," 603,734 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , 248 , 379 , 15 , 524 , -   , D , -   , 30 , 72 , 120 , D , 264 , D , 13 , -   , 12 , 323 , 513 , 17 , 830 ,,,,,,,,,,,,,,,,,,,,,
, Long Island ," 1,882 "," 1,769 ", 113 ," 4,230 ", -   , 17 , D , 107 , D , 13 , D , 55 , 20 , 58 , D , 83 ," 1,909 "," 1,857 ", 126 ," 4,475 ",,,,,,,,,,,,,,,,,,,,,
, New York  ," 5,094 "," 4,806 ", 773 ," 12,064 ", -   , 84 , 26 , 411 , 31 , 169 , 14 , 205 , 83 , 585 , 110 , 154 ," 5,208 "," 5,644 ", 923 ," 12,834 ",,,,,,,,,,,,,,,,,,,,,
, Queens ," 1,956 "," 2,016 ", 140 ," 4,463 ", -   , 68 , 15 , 122 , 10 , 101 , D , 161 , 20 , 19 , D , 157 ," 1,986 "," 2,204 ", 164 ," 4,903 ",,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , 614 , 950 , 99 , 865 , -   , D , D , 30 , 45 , 85 , D , 82 , D , 22 , D , 29 , 666 ," 1,062 ", 109 ," 1,006 ",,,,,,,,,,,,,,,,,,,,,
, Raleigh , 601 , 918 , 82 , 944 , -   , 13 , -   , 19 , D , 27 , -   , 42 , D , 18 , D , 10 , 615 , 976 , 85 ," 1,015 ",,,,,,,,,,,,,,,,,,,,,
 Ohio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , 211 , 254 , 31 , 350 , -   , D , -   , 18 , D , D , D , 11 , D , D , -   , D , 227 , 272 , 32 , 382 ,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , 334 , 377 , 45 , 563 , -   , D , 10 , 65 , D , 15 , -   , 19 , D , 14 , D , D , 344 , 413 , 59 , 653 ,,,,,,,,,,,,,,,,,,,,,
, Columbus , 314 , 377 , 65 , 514 , -   , D , D , 11 , 16 , 41 , D , 38 , D , D , D , -   , 331 , 426 , 76 , 563 ,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , 407 , 350 , 21 , 998 , -   , D , -   , 53 , D , 12 , D , 47 , D , 78 , D , D , 414 , 446 , 27 ," 1,099 ",,,,,,,,,,,,,,,,,,,,,
 Oregon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , 571 , 461 , 69 , 954 , -   , 11 , D , 51 , 44 , 27 , D , 127 , 10 , 29 , D , 11 , 625 , 528 , 76 ," 1,143 ",,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia ," 1,438 "," 1,624 ", 194 ," 2,545 ", -   , 21 , D , 52 , 41 , 83 , 13 , 235 , 13 , 44 , D , D ," 1,492 "," 1,772 ", 218 ," 2,840 ",,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , 302 , 164 , 22 , 533 , -   , -   , D , 22 , D , D , -   , 26 , D , 10 , -   , 10 , 309 , 180 , 24 , 591 ,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , 216 , 304 , 29 , 335 , -   , D , -   , D , D , D , D , 12 , -   , D , -   , D , 217 , 316 , 30 , 360 ,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , 372 , 399 , 54 , 652 , -   , D , D , 12 , D , 11 , D , 27 , D , 11 , D , 12 , 386 , 427 , 61 , 703 ,,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , 604 , 818 , 98 , 894 , -   , 18 , D , 79 , 42 , 35 , D , 89 , D , 14 , -   , 46 , 655 , 885 , 110 ," 1,108 ",,,,,,,,,,,,,,,,,,,,,
 Texas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  ," 2,549 "," 2,133 ", 232 ," 5,603 ", -   , 29 , D , 167 , 73 , 42 , D , 303 , 15 , 34 , D , 110 ," 2,637 "," 2,238 ", 249 ," 6,183 ",,,,,,,,,,,,,,,,,,,,,
, El Paso  , 720 ," 1,261 ", 66 , 976 , -   , -   , -   , -   , 17 , D , -   , 37 , D , D , -   , 68 , 743 ," 1,273 ", 66 ," 1,081 ",,,,,,,,,,,,,,,,,,,,,
, Harlingen  , 784 ," 1,297 ", 83 ," 1,622 ", -   , D , -   , D , D , 24 , -   , 46 , 16 , 24 , D , 48 , 806 ," 1,346 ", 84 ," 1,718 ",,,,,,,,,,,,,,,,,,,,,
, Houston  ," 2,836 "," 3,484 ", 357 ," 4,637 ", -   , 77 , 14 , 97 , 330 , 295 , 15 , 745 , 31 , 165 , D , 132 ," 3,197 "," 4,021 ", 395 ," 5,611 ",,,,,,,,,,,,,,,,,,,,,
, San Antonio  ," 1,639 "," 2,204 ", 96 ," 2,403 ", -   , 14 , D , 61 , 101 , 147 , D , 154 , 25 , 38 , D , 48 ," 1,765 "," 2,403 ", 102 ," 2,666 ",,,,,,,,,,,,,,,,,,,,,
 Utah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , 624 , 508 , 41 ," 1,455 ", -   , 18 , -   , 57 , D , 20 , D , 36 , D , 23 , D , D , 638 , 569 , 48 ," 1,556 ",,,,,,,,,,,,,,,,,,,,,
 Vermont ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , 39 , 471 , D , 201 , -   , D , -   , D , -   , D , D , -   , -   , D , D , -   , 39 , 480 , D , 203 ,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , 463 , 489 , 43 , 691 , -   , D , D , 29 , D , 23 , D , 49 , 12 , D , D , 39 , 481 , 526 , 50 , 808 ,,,,,,,,,,,,,,,,,,,,,
 Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
