,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
April 1 - June 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"93,914","71,393","9,854","305,370","41,920","29,689","1,705","148,547","47,773","36,736","1,262","122,768","11,367","7,986",931,"32,356","194,974","145,804","13,752","609,041",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,576,535,51,"1,967",0,10,D,18,76,205,D,228,0,19,0,55,652,769,56,"2,268",,,,,,,,,,,,,,,,,,,,,
 Maine ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,88,268,D,241,0,0,0,D,D,D,0,22,D,D,0,D,98,278,D,275,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,988","1,677",174,"8,262",0,35,D,222,26,32,D,232,24,458,11,522,"2,038","2,202",193,"9,238",,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"2,102","2,225",237,"5,253",0,68,14,85,10,18,D,89,14,41,17,185,"2,126","2,352",272,"5,612",,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW ,704,739,76,"1,862",0,12,0,24,17,12,D,51,0,69,D,57,721,832,85,"1,994",,,,,,,,,,,,,,,,,,,,,
 Michigan ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,"1,090","1,115",123,"2,588",0,26,D,36,125,50,19,262,17,15,0,123,"1,232","1,206",148,"3,009",,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,"1,051",307,51,"4,836",0,D,0,54,87,16,D,333,D,13,D,74,"1,147",342,57,"5,297",,,,,,,,,,,,,,,,,,,,,
 Missouri ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,514,835,55,"1,163",0,16,0,11,80,542,D,341,D,14,D,15,596,"1,407",62,"1,530",,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL ,285,344,34,"1,136",0,D,0,30,10,D,D,60,D,D,D,33,299,360,39,"1,259",,,,,,,,,,,,,,,,,,,,,
 Montana ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,70,218,D,321,0,0,0,0,D,17,D,16,D,D,D,0,77,237,15,337,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,285,395,61,"1,023",0,D,D,11,327,585,40,"1,316",0,D,D,22,612,985,107,"2,372",,,,,,,,,,,,,,,,,,,,,
 Nevada ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,"1,116",933,138,"3,534",0,D,D,22,624,177,14,"1,428",D,D,D,24,"1,743","1,121",157,"5,008",,,,,,,,,,,,,,,,,,,,,
, Reno  , REN ,205,207,17,460,0,D,0,D,D,145,0,106,0,0,0,D,212,354,17,570,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,175,168,27,370,0,10,0,D,12,D,0,17,D,D,D,D,188,186,28,390,,,,,,,,,,,,,,,,,,,,,
New Jersey,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,714,748,111,"2,134",0,D,D,69,D,122,D,66,D,15,D,27,725,892,121,"2,296",,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ,"3,739","2,939",390,"13,499",0,82,12,296,295,303,16,834,18,117,14,117,"4,052","3,441",432,"14,746",,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,347,438,24,"1,040",0,10,0,D,44,440,0,168,D,D,D,D,393,896,25,"1,221",,,,,,,,,,,,,,,,,,,,,
 New York ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,211,134,11,469,0,12,0,18,D,D,0,13,0,D,0,D,215,152,11,507,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF ,327,282,34,700,0,10,D,22,147,131,D,268,D,13,D,14,479,436,47,"1,004",,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ,"2,445","1,893",265,"9,356",0,48,D,140,D,47,D,105,22,111,16,572,"2,476","2,099",284,"10,173",,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ,"6,279","4,473",795,"25,457",0,109,20,243,50,112,20,581,55,309,62,780,"6,384","5,003",897,"27,061",,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ,"2,023","1,725",212,"7,931",0,39,11,132,17,88,18,193,24,38,D,261,"2,064","1,890",246,"8,517",,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,874,620,80,"2,723",0,D,D,36,88,179,12,295,D,10,D,38,964,814,97,"3,092",,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL ,895,775,65,"1,829",0,17,D,26,41,141,D,126,D,13,0,49,937,946,73,"2,030",,,,,,,,,,,,,,,,,,,,,
 Ohio ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,289,208,23,757,0,10,0,D,12,25,D,67,D,D,D,22,303,248,27,854,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE ,426,377,36,911,0,D,0,13,61,38,D,44,D,D,D,16,496,422,41,984,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM ,397,301,34,896,0,D,D,21,D,18,D,72,D,D,0,22,413,325,37,"1,011",,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,556,477,33,"1,662",0,18,D,D,32,17,D,102,D,D,D,37,591,515,45,"1,808",,,,,,,,,,,,,,,,,,,,,
 Oregon ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,808,730,31,"2,172",0,18,0,16,102,75,0,210,D,D,D,24,911,827,32,"2,422",,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,836","1,653",275,"5,016",0,43,D,59,128,72,10,329,12,47,D,83,"1,976","1,815",294,"5,487",,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT ,345,281,41,872,0,14,0,18,D,D,0,34,D,D,0,D,356,299,41,932,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,347,609,60,"1,043",0,D,0,D,D,24,0,19,D,14,D,25,357,649,62,"1,088",,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,373,696,63,929,0,D,D,D,16,574,D,175,D,D,0,18,391,"1,275",69,"1,124",,,,,,,,,,,,,,,,,,,,,
, Greer , GRR ,224,270,12,514,0,D,0,D,D,245,0,69,0,D,0,D,231,522,12,598,,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,885,677,47,"2,760",0,27,D,33,138,68,D,504,D,13,D,40,"1,025",785,54,"3,337",,,,,,,,,,,,,,,,,,,,,
 Texas ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"3,618","2,612",317,"12,443",0,51,30,135,351,231,D,805,14,26,D,542,"3,983","2,920",355,"13,925",,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP ,959,434,59,"3,046",0,D,D,D,105,44,D,274,D,D,0,29,"1,067",482,63,"3,357",,,,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG ,896,442,115,"2,929",0,D,0,D,22,16,0,68,D,D,D,66,924,469,121,"3,070",,,,,,,,,,,,,,,,,,,,,
, Houston  , HOU ,"3,835","3,492",516,"16,007",0,72,10,158,"1,670",810,15,"4,284",27,31,18,118,"5,532","4,405",559,"20,567",,,,,,,,,,,,,,,,,,,,,
, San Antonio  , SNA ,"2,037","1,296",133,"7,594",0,10,D,33,562,287,D,"1,357",D,35,33,94,"2,604","1,628",177,"9,078",,,,,,,,,,,,,,,,,,,,,
 Utah ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,874,280,44,"2,317",0,D,0,18,16,11,D,70,D,13,D,25,898,308,48,"2,430",,,,,,,,,,,,,,,,,,,,,
 Vermont ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,71,125,15,153,0,D,D,D,D,D,D,D,D,D,0,D,77,138,17,166,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,552,539,48,"1,663",0,11,0,47,34,20,D,108,D,D,D,50,590,574,53,"1,868",,,,,,,,,,,,,,,,,,,,,
 Washington ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,475",777,76,"4,750",0,31,D,118,12,21,D,103,10,14,D,34,"1,497",843,85,"5,005",,,,,,,,,,,,,,,,,,,,,
, Spokane  , SPO ,98,178,18,277,0,D,0,D,11,12,D,22,D,D,D,D,110,196,24,303,,,,,,,,,,,,,,,,,,,,,
, Yakima , YAK ,198,231,32,618,0,0,0,D,D,D,D,26,0,D,0,D,206,241,33,651,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,521,336,40,"1,628",0,D,0,12,25,16,D,65,D,D,D,13,550,359,44,"1,718",,,,,,,,,,,,,,,,,,,,,
 Guam ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,172,161,17,395,0,D,0,D,D,0,0,D,0,0,0,0,173,164,17,408,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,32,74,12,61,0,0,0,0,D,169,D,79,0,0,D,D,33,243,14,146,,,,,,,,,,,,,,,,,,,,,
, Christiansted  , CHR ,14,D,0,44,0,0,0,0,D,0,0,D,0,0,0,D,15,D,0,46,,,,,,,,,,,,,,,,,,,,,
 Puerto Rico ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ ,176,149,D,488,0,0,0,0,13,50,0,147,0,D,0,D,189,200,D,642,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
, California , WSC ,D,D,0,435,"1,136",686,24,"1,609",0,0,0,10,0,0,0,0,"1,143",689,24,"2,054",,,,,,,,,,,,,,,,,,,,,
, Nebraska , NSC ,0,0,0,0,"20,297","13,514",699,"83,432","21,058","18,247",372,"46,408","2,616",D,0,"2,640","43,971","31,763","1,071","132,480",,,,,,,,,,,,,,,,,,,,,
, Texas , SSC ,0,0,0,0,"20,487","13,935",702,"59,231","5,085","2,945",190,"15,979",D,D,D,17,"25,573","16,888",896,"75,227",,,,,,,,,,,,,,,,,,,,,
, Vermont , ESC ,10,0,D,D,0,0,D,D,D,D,0,24,"8,191","5,728",565,"23,822","8,205","5,730",567,"23,853",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
