,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"87,734","71,142","9,708","314,939","23,032","23,459","2,127","149,382","49,862","40,940","1,221","131,089","4,958","6,654","1,232","28,948","165,586","142,195","14,288","624,358",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 383 , 182 , 43 ," 1,351 ", -   , D , D , 16 , D , -   , -   , 28 , -   , D , D , D , 384 , 187 , 48 ," 1,399 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 169 , 322 , 18 , 663 , -   , -   , -   , 18 , D , 351 , D , 148 , -   , 14 , -   , D , 170 , 687 , 20 , 837 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,259 "," 2,843 ", 327 ," 12,618 ", -   , 73 , 14 , 267 , 73 , 26 , D , 346 , D , 13 , D , 67 ," 3,341 "," 2,955 ", 346 ," 13,298 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 651 , 471 , 49 ," 1,632 ", -   , D , D , 75 , 37 , 27 , D , 137 , -   , D , 10 , 30 , 688 , 505 , 62 ," 1,874 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 227 , 209 , 26 , 821 , -   , -   , D , 30 , 26 , 11 , D , 87 , D , D , D , 14 , 258 , 228 , 34 , 952 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
