 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"78,921","67,721","7,730","196,837","34,266","38,464","1,651","118,481","41,001","40,222","1,256","93,209","8,795","6,488",851,"19,183","162,983","152,895","11,488","427,710"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
, Texas , SSC , -   , -   , -   , -   ,"16,734","17,493",767,"67,154","6,902","5,018",171,"14,725",5,5,53,34,"23,641","22,516",991,"81,913"
, Vermont , ESC ,24, -   ,10,155,4, -   , -   ,27,3, -   ,1,18,"7,332","4,031",488,"14,786","7,363","4,031",499,"14,986"
,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,921","67,721","7,730","196,837","34,266","38,464","1,651","118,481","41,001","40,222","1,256","93,209","8,795","6,488",851,"19,183","162,983","152,895","11,488","427,710"
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,
'-' Represents zero.,,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), June 2015",,,,,,,,,,,,,,,,,,,,,,
