" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2012, SAJ , SAN JUAN PR  , -   , -   , -   ,2, -   , -   , -   ,3, -   , -   , -   , -   , -   ,22, -   ,11,750,737,116,300,79,43,3,27,2,8, -   ,28,831,929,371
2012, SBD , SAN BERNADINO CA , -   ,56,11,9,1,1,2,1, -   , -   ,1, -   , -   ,144,48,48,"5,775","4,940",713,"2,410",28,16,3,15,48,153,28,2,"5,852","6,116","2,485"
2012, SEA , SEATTLE WA  , -   ,42,8,13,15,79,22,7, -   ,2, -   , -   , -   ,138,26,58,"3,951","3,505",329,"1,624",22,17,1,4,201,209,23,51,"4,189","4,401","1,757"
2012, SFR , SAN FRAN. CA  , -   ,176,15,64,6,13,3,3, -   , -   , -   , -   , -   ,120,38,63,"6,698","6,281",714,"2,718",48,41,3,7,103,374,48,38,"6,855","7,826","2,893"
2012, SFV , SAN FERNANDO VALLEY CA , -   ,58,10,13, -   ,19, -   ,3, -   ,1, -   , -   , -   ,210,48,64,"5,012","4,393",814,"2,623",23,28,3,2,49,119,22,20,"5,084","5,725","2,725"
2012, SLC , SALT LAKE CITY UT  , -   ,3,1,9, -   ,41,12,11, -   , -   , -   , -   , -   ,26,4,19,"2,432","2,033",163,"1,040",21,10,1,14,23,113,29,5,"2,476","2,436","1,098"
2012, SNA , SAN ANTONIO TX  , -   ,9, -   ,2,50,18,2,19, -   , -   , -   , -   , -   ,69,16,12,"5,642","5,457",441,"2,162",224,124,6,110,97,161,40,29,"6,013","6,343","2,334"
2012, SND , SAN DIEGO CA  , -   ,17,1,7,1,4,2,2, -   , -   , -   , -   , -   ,127,11,42,"2,098","2,208",177,688,16,9,1,9,26,57,4,10,"2,141","2,618",758
2012, SNJ , SAN JOSE CA  , -   ,34,7,14,5,16,5,5, -   , -   ,1,1, -   ,158,32,31,"4,246","3,663",304,"1,642",9,2,2,11,41,238,29,18,"4,301","4,491","1,722"
2012, SPM , ST PAUL MN  , -   ,57,13,23,26,152,65,34, -   , -   , -   , -   , -   ,56,11,32,"2,874","1,944",326,"1,362",36,24,2,12,89,81,7,68,"3,025","2,738","1,531"
2012, SPO , SPOKANE WA  , -   ,4,1,1, -   ,9, -   ,1, -   , -   , -   , -   , -   ,10,2,1,296,298,42,82,2, -   , -   , -   ,29,40,13,15,327,419,100
2012, STA , ST ALBANS VT  , -   ,5,1, -   , -   ,7,1,1, -   , -   , -   , -   , -   ,23,4,4,177,290,79,64,1,1, -   , -   ,4,4,1,2,182,416,71
2012, STL , ST LOUIS MO  , -   ,2, -   ,5,4,22,5,5, -   , -   , -   , -   , -   ,26,16,21,929,813,106,381,7,6, -   ,2,14,14,2, -   ,954,"1,012",414
2012, TAM , TAMPA FL  , -   ,31,2,26,17,28,5,35, -   , -   , -   , -   , -   ,87,15,21,"4,297","3,471",649,"1,646","2,375","1,808",101,841,68,198,20,9,"6,757","6,415","2,578"
2012, TUC , TUCSON AZ/SUB  , -   ,1, -   , -   ,6,33, -   ,4, -   , -   , -   , -   , -   ,7,3,5,"1,649","1,559",242,651,9,7, -   ,1,16,53,1,1,"1,680","1,906",662
2012, WAS , WASHINGTON DC  , -   ,126,30,3,14,61,14,17, -   , -   ,1, -   , -   ,416,198,79,"5,801","5,080","1,157","3,073",140,75,21,63,159,414,107,85,"6,114","7,700","3,320"
2012, WIC , WICHITA KS , -   ,7,1,1,10,6,4,6, -   , -   , -   , -   , -   ,7, -   , -   ,712,546,77,323,26,24, -   ,8,16,16,2,1,764,690,339
2012, WPB , WEST PALM BEACH FL , -   ,16,3,2,7,10,2,1, -   ,4, -   , -   , -   ,44,17,8,"3,002","2,521",478,971,"1,153",788,70,374,49,52,14,15,"4,211","4,019","1,371"
2012, YAK , YAKIMA WA , -   ,7, -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   ,7,2, -   ,523,468,54,198,3,3, -   ,1,13,39,1,8,539,585,207
2012 Total,,,12,"3,196",479,834,719,"2,212",571,855, -   ,22,3,5,2,"6,373","1,859","2,274","272,863","242,149","33,535","120,595","33,672","25,358","2,104","12,288","4,681","10,951","1,998","2,501","311,949","330,810","139,352"
2013, ABQ , ALBUQUERQUE NM  , -   , -   , -   ,1, -   , -   , -   ,9, -   , -   , -   , -   , -   ,2, -   ,1,119,85,2,399,9,6, -   ,27,5,5, -   ,5,133,100,442
2013, AGA , AGANA GUAM  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,93,88,18,273, -   , -   , -   , -   ,1,2,1,4,94,109,286
2013, ALB , ALBANY NY  , -   , -   , -   ,2, -   , -   ,1,11, -   ,1, -   , -   , -   ,4,1,2,107,82,6,320, -   , -   , -   ,4,2,3, -   ,8,109,98,347
2013, ANC , ANCHORAGE AK  , -   , -   , -   ,2, -   , -   ,1,6, -   , -   , -   , -   , -   , -   , -   , -   ,82,52,7,143, -   , -   , -   , -   , -   ,1, -   ,1,82,61,152
2013, ATL , ATLANTA GA  , -   ,6,5,7,1,6,1,8, -   , -   , -   , -   , -   ,41,5,52,"1,272","1,172",135,"3,521",67,42,11,224,24,20,3,176,"1,364","1,447","3,988"
2013, BAL , BALTIMORE MD  , -   ,10,1,87,2, -   ,3,26, -   , -   , -   , -   , -   ,19,3,135,"1,027",784,134,"3,217",7, -   ,1,32,10,50,2,83,"1,046","1,007","3,580"
2013, BOI , BOISE ID  , -   , -   , -   , -   , -   ,3,2,3, -   , -   , -   , -   , -   , -   , -   , -   ,86,72,3,186, -   , -   , -   , -   , -   ,3, -   , -   ,86,83,189
2013, BOS , BOSTON MA  , -   ,4,1, -   , -   ,2,3,1, -   , -   , -   , -   , -   ,19,7,18,896,632,61,"2,731",10, -   ,1,23,11,20,2,48,917,752,"2,821"
2013, BUF , BUFFALO NY  , -   ,2, -   ,4,2,9,1,38, -   , -   , -   , -   , -   , -   ,1,11,179,116,3,421,66,4,1,109,3,3, -   ,12,250,140,595
2013, CHA , CHARLOTTE AMALIE  , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,22,4,38, -   , -   , -   , -   , -   , -   , -   ,10,19,26,49
2013, CHI , CHICAGO IL  , -   ,2,2,45,4,2, -   ,54, -   , -   , -   , -   , -   ,25,8,274,"1,832","1,345",173,"5,437",11,1, -   ,59,23,114,4,39,"1,870","1,676","5,908"
2013, CHL , CHARLESTON SC  , -   ,1, -   ,11,5,6,1,5, -   , -   , -   , -   , -   ,3,1,7,253,156,14,623,10,2, -   ,23,1,2,1,10,269,187,679
2013, CHR , CHRISTIANSTED VI  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,7,3,24, -   , -   , -   , -   , -   , -   , -   ,1,10,10,25
2013, CHS , CHARLESTON WV , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013, CIN , CINCINNATI OH  , -   , -   ,1,5, -   ,2, -   ,1, -   , -   , -   , -   , -   ,2, -   ,5,139,96,11,314,1, -   , -   ,3,1, -   , -   ,2,141,112,330
2013, CLE , CLEVELAND OH  , -   ,1, -   ,3, -   ,6, -   ,5, -   , -   , -   , -   , -   ,3,2,15,213,148,7,494,2, -   , -   ,7,11,6,1,8,226,174,532
2013, CLM , COLUMBUS OH , -   ,1,1,7, -   ,3,1,3, -   , -   , -   , -   , -   ,6, -   ,8,160,150,19,392,6, -   , -   ,8,3,1, -   ,11,169,182,429
2013, CLT , CHARLOTTE NC  , -   ,4, -   ,1,3,13,1,18, -   , -   , -   , -   , -   ,5,1,7,361,235,22,"1,093",23,13, -   ,60,19,2, -   ,31,406,296,"1,210"
2013, CVC , CHULA VISTA CA , -   ,3, -   ,5, -   ,5, -   ,10, -   , -   , -   , -   , -   ,9, -   ,17,446,313,27,"1,039",5,3, -   ,13,5, -   , -   ,23,456,360,"1,107"
2013, DAL , DALLAS TX  , -   ,1, -   ,23,2,2,3,52, -   , -   , -   ,2, -   ,25,5,52,"1,463","1,150",126,"4,559",14,1,1,59,13,21,9,62,"1,492","1,344","4,809"
2013, DEN , DENVER CO  , -   ,6,2,9, -   ,3,2,23, -   , -   , -   , -   , -   ,15,2,32,678,327,69,"1,790",8,1,1,22,16,10,3,53,702,441,"1,929"
2013, DET , DETROIT MI  , -   , -   ,2,12, -   ,7, -   ,14, -   , -   , -   , -   , -   ,22, -   ,35,586,416,35,"1,301",13,2,1,49,4,32,5,12,603,522,"1,423"
2013, DSM , DES MOINES IA , -   , -   , -   ,2,3,8,7,5, -   , -   , -   , -   , -   , -   , -   ,8,98,36,8,360,3, -   ,1,5,2,5, -   ,10,106,65,390
2013, DVD , DOVER DE AFB  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013, ELP , EL PASO TX  , -   ,1, -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   ,12, -   ,5,469,412,63,994,4, -   , -   ,28,4,7, -   ,60,477,495,"1,090"
2013, FRE , FRESNO CA  , -   ,4, -   ,16, -   ,6,2,6, -   , -   , -   , -   , -   ,2,1,16,410,297,26,"1,141",1, -   , -   ,2,16,12,2,28,427,352,"1,209"
2013, FSA , FORT SMITH AR  , -   , -   , -   , -   , -   ,2, -   ,1, -   , -   , -   , -   , -   , -   , -   ,4,84,55,4,218, -   , -   , -   ,2, -   ,26, -   ,8,84,87,233
2013, GCU , GARDEN CITY NY , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013, GRR , GREER SC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013, HAR , HARTFORD CT  , -   ,1, -   ,1, -   ,1, -   ,15, -   , -   , -   , -   , -   ,3, -   ,43,536,377,52,"1,828",8,1, -   ,23,7,2, -   ,12,551,437,"1,922"
2013, HEL , HELENA MT  , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25,23,1,63, -   , -   , -   , -   , -   ,1, -   , -   ,25,26,63
2013, HHW , HONOLULU HI  , -   , -   , -   ,7, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   ,16,216,257,18,506,3, -   , -   ,3,4, -   , -   ,22,223,277,554
2013, HIA , HIALEAH FL , -   , -   , -   ,7,8,7,1,18, -   , -   , -   , -   , -   ,10, -   ,12,406,270,46,"1,117","1,525",219,46,"3,521",6,1,1,20,"1,945",601,"4,695"
2013, HLG , HARLINGEN TX  , -   ,1, -   ,1, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   ,525,334,22,"1,489",9,1, -   ,30,11,34,6,14,545,398,"1,536"
2013, HOU , HOUSTON TX  , -   ,2, -   ,27,1,2,2,24, -   , -   , -   , -   , -   ,39,10,102,"1,548","1,199",143,"4,045",129,22,3,276,19,14,13,77,"1,697","1,449","4,551"
2013, IMP , IMPERIAL CA , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,53,47,18,140, -   , -   , -   ,1, -   , -   , -   ,1,53,65,142
2013, INP , INDIANAPOLIS IN  , -   ,1, -   ,9,2,3,1,8, -   , -   , -   , -   , -   ,10,4,15,250,175,31,664,3,2, -   ,7,5,4,1,13,260,232,716
2013, JAC , JACKSONV'L FL  , -   ,8, -   , -   , -   ,3,1,2, -   , -   , -   , -   , -   ,1,1,18,297,227,19,712,43,3,1,109,5,9, -   ,14,345,273,855
2013, KAN , KANSAS CITY MO  , -   ,1, -   ,6,15,5,3,16, -   , -   , -   , -   , -   ,3, -   ,13,282,200,22,750,10,4, -   ,27,8, -   ,2,16,315,240,828
2013, KND , KENDALL FL , -   ,2, -   ,3,4, -   , -   ,7, -   , -   , -   , -   , -   ,13,1,8,382,445,58,"1,177","1,450",293,34,"3,404", -   ,2,3,14,"1,836",851,"4,613"
2013, LAC , LOS ANGELES COUNTY CA  , -   ,13,1,46, -   , -   ,1,2, -   , -   , -   , -   , -   ,54,5,87,"1,206","1,242",143,"3,772",12,1,1,28,26,228,47,30,"1,244","1,736","3,965"
2013, LAW , LAWRENCE MA , -   ,4,1,5,2,7,3,8, -   , -   , -   ,2, -   ,12, -   ,16,390,235,54,961,3, -   , -   ,13,11,7,1,84,406,324,"1,089"
2013, LNY , LONG ISLAND NY , -   ,2,1,20, -   , -   , -   ,16, -   , -   , -   , -   , -   ,26,13,22,"1,044",753,123,"3,830",2,2, -   ,12,14,6,5,113,"1,060",931,"4,013"
2013, LOS , LOS ANGELES CA  , -   ,9,3,68,3,8,2,21, -   ,1, -   , -   , -   ,87,15,43,"1,363","1,452",111,"4,306",9,5,4,19,29,22,9,94,"1,404","1,728","4,551"
2013, LOU , LOUISVILLE KY  , -   ,1, -   ,1, -   ,6,3,28, -   , -   , -   , -   , -   , -   ,4, -   ,159,92,19,482,83,22, -   ,203,4,2,1,10,246,150,724
2013, LVG , LAS VEGAS NV  , -   , -   , -   ,1, -   ,1,1,2, -   , -   , -   , -   , -   ,11,2,72,533,390,68,"1,920",115,17,6,326,2,34,3,6,650,533,"2,327"
2013, MAN , MANCHESTER NH  , -   , -   , -   ,4,8,1,1,11, -   , -   , -   , -   , -   ,2, -   ,7,91,63,10,241, -   , -   , -   ,4,3,10, -   ,3,102,87,270
2013, MEM , MEMPHIS TN  , -   ,2, -   ,14, -   ,5,1,17, -   , -   , -   , -   , -   ,12, -   ,51,430,269,41,"1,030",12, -   ,1,43,6,5,1,73,448,337,"1,228"
2013, MIA , MIAMI FL  , -   ,8,1,3, -   ,3, -   ,7, -   , -   , -   , -   , -   ,13,1,8,670,598,98,"2,034",891,229,33,"2,207",13,6, -   ,38,"1,574",990,"4,297"
2013, MIL , MILWAUKEE WI  , -   ,1,1,1, -   ,2,1,12, -   , -   , -   , -   , -   ,11,3,54,255,153,18,576,1,1,2,7,2,3, -   ,5,258,196,655
2013, MTL , MOUNT LAUREL NJ , -   ,3, -   ,2, -   ,1,1,11, -   , -   , -   , -   , -   ,5,3,7,379,269,48,"1,007",2, -   , -   ,8,11,7, -   ,14,392,337,"1,049"
2013, NEW , NEWARK NJ  , -   ,3,1,17, -   , -   , -   ,9, -   , -   , -   , -   , -   ,30,17,111,"1,721","1,328",172,"4,657",103,21,1,284,13,86,14,186,"1,837","1,673","5,264"
2013, NOL , NEW ORLEANS LA  , -   ,2,1,2, -   ,1, -   ,12, -   , -   , -   , -   , -   ,3, -   ,12,251,219,25,708,23,9, -   ,70,2,2,2,5,276,264,809
2013, NOR , NORFOLK VA  , -   , -   , -   ,3, -   ,4, -   ,11, -   , -   , -   , -   , -   ,5, -   ,27,291,197,31,755,12,1, -   ,24,3,2, -   ,16,306,240,836
2013, NYC , NEW YORK NY  , -   ,108,8,43, -   ,4,2,5, -   , -   , -   , -   , -   ,75,9,49,"2,874","1,735",354,"10,756",21,5,2,67,38,355,42,123,"2,933","2,699","11,043"
2013, OKC , OKLAHOMA CITY OK  , -   ,1, -   ,1, -   , -   , -   ,3, -   , -   , -   , -   , -   ,7,1,7,255,148,18,686,1, -   , -   ,18,5,4,10,21,261,189,736
2013, OKL , OAKLAND PARK FL , -   ,4,1,15,1, -   , -   ,6, -   , -   , -   , -   , -   ,8,5,21,907,805,86,"2,544",207,89,12,586,1,9,13,47,"1,116","1,032","3,219"
2013, OMA , OMAHA NE  , -   ,2, -   ,5,2,5, -   ,34, -   , -   , -   , -   , -   ,4,1,10,143,115,18,293,28,5,2,91,4,1,1,10,177,154,443
2013, ORL , ORLANDO FL  , -   ,1, -   ,19, -   , -   , -   ,4, -   , -   , -   , -   , -   ,3,3,5,631,518,108,"1,895",102,15,2,305,2,14, -   ,29,735,664,"2,257"
2013, PHI , PHILADELPHI PA  , -   ,6,2,4,2,2, -   ,20, -   , -   , -   , -   , -   ,8,2,55,842,729,72,"2,077",30,2,1,80,10,18,1,13,884,843,"2,249"
2013, PHO , PHOENIX AZ  ,1,5, -   ,9, -   ,6,12,16, -   , -   , -   , -   , -   ,2,5,29,704,660,104,"1,760",33,7,1,75,11,11,2,29,749,815,"1,918"
2013, PIT , PITTSBURGH PA  , -   ,6, -   , -   , -   ,2, -   ,10, -   , -   , -   , -   , -   ,4, -   ,17,190,131,11,463,3, -   , -   ,6,5, -   , -   ,9,198,154,505
2013, POM , PORTLAND ME  , -   , -   , -   ,2, -   ,1, -   ,8, -   , -   , -   , -   , -   , -   , -   , -   ,50,35,1,129, -   , -   , -   , -   ,2, -   , -   ,3,52,37,142
2013, POO , PORTLAND OR  , -   , -   ,1,9,5,2,2,7, -   , -   , -   , -   , -   ,4, -   ,22,346,224,29,990,39,1,1,58,40,8, -   ,60,430,272,"1,146"
2013, PRO , PROVIDENCE RI  , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,151,94,22,449,1, -   , -   ,3,3, -   ,1,6,155,118,466
2013, QNS , QUEENS NY , -   ,39,2,12, -   , -   , -   ,9, -   , -   , -   , -   , -   ,22,5,44,"1,075",811,85,"3,552",6,1, -   ,17,13,9,4,91,"1,094",978,"3,725"
2013, RAL , RALEIGH NC , -   , -   , -   ,2, -   ,1, -   ,1, -   , -   , -   , -   , -   ,4, -   ,6,377,275,47,899,10,5, -   ,35,4, -   , -   ,22,391,332,965
2013, REN , RENO NV  , -   , -   , -   ,2, -   , -   ,1, -   , -   , -   , -   , -   , -   ,2, -   ,7,81,89,12,206,2, -   , -   ,6, -   ,5, -   ,1,83,109,222
2013, SAA , SANTA ANA CA , -   ,5,1,7, -   ,1,3,14, -   ,2,1, -   , -   ,52,8,57,785,723,95,"2,137",7, -   , -   ,21,12,12,1,17,804,904,"2,253"
2013, SAC , SACRAMENTO CA  , -   ,1,1,8, -   ,9,1,3, -   ,1, -   , -   , -   ,3,1,17,495,420,47,"1,197",1, -   , -   ,6,45,15, -   ,69,541,499,"1,300"
2013, SAJ , SAN JUAN PR  , -   , -   , -   ,2, -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   ,16,130,99,3,319,8,3,2,30,1, -   , -   ,29,139,107,399
2013, SBD , SAN BERNADINO CA , -   ,2,1,8, -   , -   , -   ,1, -   , -   , -   , -   , -   ,12,7,36,930,826,114,"2,557",10, -   , -   ,18,2,13,5,24,942,980,"2,644"
2013, SEA , SEATTLE WA  , -   ,9, -   ,12, -   ,18,1,21, -   , -   , -   , -   , -   ,20,8,35,661,598,61,"1,608",4,1, -   ,6,49,32,7,88,714,755,"1,770"
2013, SFR , SAN FRAN. CA  , -   ,21, -   ,61,1,4, -   ,4, -   , -   , -   ,1, -   ,31,7,91,"1,078",918,73,"2,762",2,1, -   ,8,21,11,3,65,"1,102","1,069","2,992"
2013, SFV , SAN FERNANDO VALLEY CA , -   ,3, -   ,19, -   , -   ,2,4, -   , -   , -   , -   , -   ,17,2,67,693,492,99,"2,843",2,1, -   ,3,9,31,13,27,704,660,"2,963"
2013, SLC , SALT LAKE CITY UT  , -   ,1, -   ,9, -   ,9,1,4, -   , -   , -   , -   , -   ,13,3,4,378,267,30,"1,082",6,1, -   ,20,1,17,1,5,385,343,"1,124"
2013, SNA , SAN ANTONIO TX  , -   , -   , -   ,2,9,7,1,17, -   , -   , -   , -   , -   ,8,3,10,928,530,69,"2,416",50,7,1,128,13,72,13,23,"1,000",711,"2,596"
2013, SND , SAN DIEGO CA  , -   ,1,1,1, -   , -   , -   ,14, -   , -   , -   , -   , -   ,15, -   ,34,316,312,36,848,1, -   , -   ,4,6,13, -   ,10,323,378,911
2013, SNJ , SAN JOSE CA  , -   ,7,1,10, -   ,1, -   ,10, -   , -   , -   , -   , -   ,23,4,49,724,633,38,"1,710", -   ,1, -   ,10,9,2, -   ,22,733,710,"1,811"
2013, SPM , ST PAUL MN  , -   ,13,2,20,2,21,7,32, -   , -   , -   , -   , -   ,6,1,34,464,237,51,"1,486",3, -   ,2,16,17,4, -   ,75,486,344,"1,663"
2013, SPO , SPOKANE WA  , -   , -   , -   ,1, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,1,39,32,3,89,1, -   , -   ,1,13,4,2,14,53,41,107
2013, STA , ST ALBANS VT  , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   ,1, -   , -   ,1,4,31,45,7,63, -   , -   , -   , -   , -   , -   , -   ,2,31,53,71
2013, STL , ST LOUIS MO  , -   ,2, -   ,3, -   ,3,2,6, -   , -   , -   , -   , -   ,2,1,23,154,89,18,394,1, -   ,2,3,2,9, -   ,1,157,128,430
2013, TAM , TAMPA FL  , -   ,1, -   ,26,6,2, -   ,42, -   , -   , -   , -   , -   ,9,4,28,637,492,80,"1,725",438,63,8,"1,067",15,42,1,6,"1,096",702,"2,894"
2013, TUC , TUCSON AZ/SUB  , -   , -   , -   , -   , -   ,1, -   ,6, -   , -   , -   , -   , -   ,1, -   ,7,219,234,38,619,1, -   , -   ,2,1, -   ,1,3,221,275,637
2013, WAS , WASHINGTON DC  , -   ,19,2,2, -   ,11,2,13, -   , -   , -   , -   , -   ,44,18,64,"1,017",604,125,"3,149",16,5, -   ,72,30,30,8,119,"1,063",868,"3,419"
2013, WIC , WICHITA KS , -   ,1, -   , -   , -   ,3,1,4, -   , -   , -   , -   , -   ,1, -   ,1,121,69,7,341,7, -   , -   ,10,1,2, -   ,1,129,84,357
2013, WPB , WEST PALM BEACH FL , -   ,1, -   ,5, -   , -   , -   ,1, -   , -   , -   , -   , -   ,5,4,4,481,356,72,"1,009",192,33,7,450,4,11,2,15,677,491,"1,484"
2013, YAK , YAKIMA WA , -   ,1, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,4,77,87,7,197,2,1, -   ,2,6,11, -   ,6,85,107,210
2013 Total,,,1,371,49,810,93,258,89,886, -   ,5,1,6, -   ,971,219,"2,323","43,369","33,494","4,411","125,048","5,943","1,175",193,"14,632",773,"1,597",273,"2,670","50,179","43,106","146,375"
Grand Total,,,78,"10,319","1,717",810,"1,291","6,315","1,641",886,5,85,12,6,10,"35,743","9,280","2,323","869,563","754,809","121,100","125,048","99,948","80,816","7,386","14,632","16,170","33,964","5,292","2,670","987,065","1,068,479","146,375"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please note: The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data: Based on November 2012 Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Created: January 3, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date(s): Oct 2009 - Nov 2012 (Updated FY2013 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Type(s):  I-485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials, and Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Domestic Field Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
