" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010 Total,,,21,"3,790",745,"1,256",39,"2,348",642,869, -   ,40,5,9,6,"19,841","4,752","20,243","301,868","254,767","46,718","118,630","32,381","25,289","2,697","9,551","6,148","12,020","1,871","3,282","340,463","375,525","153,840"
2011, ABQ , ALBUQUERQUE NM  , -   ,3,1, -   , -   ,7, -   ,6, -   , -   , -   , -   , -   ,15,1, -   ,892,807,72,377,60,48,5,26,23,25,1,10,975,985,419
2011, AGA , AGANA GUAM  ,1,1,1,4, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,8,4,691,645,41,359,1, -   , -   , -   ,22,4,2,4,715,704,371
2011, ALB , ALBANY NY  , -   ,15,5,1,4,9,1,11, -   ,4, -   , -   , -   ,14,15,14,707,688,109,224,11,10, -   ,6,10,6,1,13,732,877,269
2011, ANC , ANCHORAGE AK  , -   , -   ,1,1, -   ,9, -   , -   , -   , -   , -   , -   , -   ,1, -   ,5,520,494,50,167,2,2, -   , -   ,8,16,3,5,530,576,178
2011, ATL , ATLANTA GA  , -   ,27,7,30,25,50,20,45, -   , -   , -   , -   , -   ,420,85,59,"9,786","9,455","1,437","4,632",424,251,36,125,167,180,25,33,"10,402","11,993","4,924"
2011, BAL , BALTIMORE MD  ,2,100,12,84,5,18,9,18, -   , -   , -   , -   , -   ,363,94,99,"6,220","5,374","1,081","2,702",54,17,2,22,116,474,30,43,"6,397","7,574","2,968"
2011, BOI , BOISE ID  , -   , -   ,7,1,3,18,6,4, -   , -   , -   , -   , -   ,14, -   ,3,553,456,74,199, -   , -   ,1, -   ,17,34, -   ,6,573,610,213
2011, BOS , BOSTON MA  , -   ,45,4,30,6,14,4,26, -   ,1, -   , -   , -   ,164,43,112,"6,210","5,488",738,"2,265",21,13,5,10,148,200,36,55,"6,385","6,755","2,498"
2011, BUF , BUFFALO NY  , -   ,11, -   ,6,2,41,4,44, -   , -   , -   , -   , -   ,12,4,19,962,810,74,415,185,182,9,50,45,40,2,17,"1,194","1,189",551
2011, CHA , CHARLOTTE AMALIE  , -   ,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,99,104,26,39,7,8,1,4,2,8, -   ,4,108,158,47
2011, CHI , CHICAGO IL  , -   ,67,7,13,7,72,7,28, -   , -   , -   , -   , -   ,404,126,27,"12,085","10,400","1,489","4,472",99,96,9,86,142,93,20,55,"12,333","12,790","4,681"
