,,,,,,,,,"Number of form I-485, Applications to Register Permanent Residence or Adjust Status, by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"89,229","65,959","8,960","292,086","30,897","27,948","1,855","138,347","46,119","33,524","1,061","113,278","9,870","6,642",846,"28,254","176,403","134,402","13,201","572,129",,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ,"2,719","1,243",300,"9,224",0,46,D,262,144,136,D,691,D,61,D,114,"2,870","1,486",322,"10,291",,,,,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW ,418,296,28,883,0,D,0,D,0,32,D,26,D,0,0,D,420,336,29,919,,,,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI ,207,452,20,657,0,0,0,0,0,353,D,87,D,11,0,D,209,816,21,752,,,,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ,"3,707","2,568",328,"12,179",0,42,D,170,56,44,D,231,16,38,D,90,"3,779","2,692",344,"12,670",,,,,,,,,,,,,,,,,,,,,,,,
 Indiana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP ,560,481,42,"1,556",0,13,0,31,47,32,D,110,D,10,D,52,612,536,51,"1,749",,,,,,,,,,,,,,,,,,,,,,,,
 Iowa ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,213,183,20,786,0,15,D,D,19,D,D,73,11,22,D,24,243,226,30,889,,,,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,219,169,15,683,0,D,D,D,85,21,D,201,D,0,0,10,305,195,22,897,,,,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,304,181,28,832,0,D,0,11,483,345,10,860,D,D,D,88,792,537,43,"1,791",,,,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,528,478,59,"1,993",0,23,D,14,69,109,D,274,D,12,D,72,599,622,70,"2,353",,,,,,,,,,,,,,,,,,,,,,,,
 Maine ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,98,167,D,299,0,D,0,0,D,30,0,41,D,D,0,D,110,201,D,349,,,,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"2,065",488,102,"8,745",0,21,D,237,32,16,D,229,46,29,D,819,"2,143",554,115,"10,030",,,,,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"2,032","1,014",172,"5,862",0,34,D,94,13,29,10,94,20,45,23,259,"2,065","1,122",208,"6,309",,,,,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW ,698,284,52,"2,084",0,10,0,20,10,19,D,50,13,24,D,71,721,337,63,"2,225",,,,,,,,,,,,,,,,,,,,,,,,
 Michigan ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,"1,024",772,119,"2,731",0,13,D,42,114,40,D,218,19,11,0,97,"1,157",836,126,"3,088",,,,,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,"1,038",452,42,"4,108",0,15,0,42,48,25,D,244,D,D,D,75,"1,091",497,45,"4,469",,,,,,,,,,,,,,,,,,,,,,,,
 Missouri ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,514,855,49,"1,458",0,17,0,20,73,297,D,238,D,D,0,16,590,"1,172",56,"1,732",,,,,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL ,293,299,57,"1,184",0,12,D,26,13,D,D,45,D,D,D,34,314,319,66,"1,289",,,,,,,,,,,,,,,,,,,,,,,,
 Montana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,66,303,13,278,0,D,0,0,0,74,D,29,D,0,0,D,67,379,16,309,,,,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,260,723,55,857,0,D,0,0,280,713,18,736,D,D,D,26,543,"1,446",74,"1,619",,,,,,,,,,,,,,,,,,,,,,,,
 Nevada ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,978,741,139,"3,621",0,D,0,14,561,184,13,"1,464",D,16,D,19,"1,540",945,156,"5,118",,,,,,,,,,,,,,,,,,,,,,,,
, Reno  , REN ,151,354,12,440,0,0,0,D,D,208,D,10,0,D,0,0,157,563,14,452,,,,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,157,172,17,362,0,0,0,11,D,15,0,13,D,D,0,D,168,189,17,395,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,699,648,91,"2,163",0,18,D,46,12,67,D,281,D,D,D,10,716,740,108,"2,500",,,,,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ,"3,512","2,425",363,"13,555",0,93,28,250,311,513,14,871,25,17,D,145,"3,848","3,048",412,"14,821",,,,,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,301,250,17,743,0,0,D,D,29,194,D,123,D,10,0,D,333,454,19,874,,,,,,,,,,,,,,,,,,,,,,,,
 New York ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,196,146,16,454,0,D,0,27,D,D,0,13,D,0,D,0,198,152,18,494,,,,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF ,320,361,38,678,0,10,0,23,132,113,12,250,10,12,D,20,462,496,51,971,,,,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ,"2,433","1,616",254,"9,983",0,38,D,135,10,41,D,117,49,208,43,235,"2,492","1,903",301,"10,470",,,,,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ,"6,214","4,086",767,"23,585",0,103,16,275,43,229,18,561,50,386,63,282,"6,307","4,804",864,"24,703",,,,,,,,,,,,,,,,,,,,,,,,
