 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"71,816","62,827","8,427","165,913","33,125","39,138","1,722","115,089","36,543","29,603","1,218","89,110","6,858","6,509",860,"16,484","148,342","138,077","12,227","386,596"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
, St. Louis  ,243,209,35,594, -   , D , -   , D , -   , D , D ,12, D ,36, D , D ,251,258,41,618
 Montana ,,,,,,,,,,,,,,,,,,,,,
, Helena  ,60,122,15,129, -   , -   , -   , -   , -   ,53, D ,11, -   , -   , -   , -   ,60,175,16,140
 Nebraska ,,,,,,,,,,,,,,,,,,,,,
, Omaha  ,230,269,13,535, -   , -   , -   , -   ,43,114,13,354,12,18, D , D ,285,401,28,891
 Nevada ,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  ,865,738,83,"1,713", -   , D , D ,41,264,99, D ,724,10,72, D ,24,"1,139",914,99,"2,502"
, Reno  ,135,146,30,249, -   , -   , -   , D , -   ,22, D , D , D , D , -   , D ,136,170,31,254
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,
, Manchester  ,123,96, D ,232, -   , D , -   , D , D ,10, -   ,10, D , D , -   , D ,131,114, D ,250
New Jersey,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel ,577,502,67,"1,179", -   ,16, D ,17, D ,27, D ,47, D ,13, D ,61,587,558,78,"1,304"
, Newark  ,"2,855","2,621",272,"6,620", -   ,96,16,107,189,291, D ,515,32,96,14,127,"3,076","3,104",308,"7,369"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  ,253,170,16,503, -   , -   , -   , D ,16, D , D ,57, -   ,24, D , D ,269,197,20,567
 New York ,,,,,,,,,,,,,,,,,,,,,
, Albany  ,151,117,11,374, -   , D , -   , D , -   ,15, -   ,25, -   , D , D ,14,151,140,12,414
, Buffalo  ,290,259,15,591, -   , D , -   , D ,74,66, D ,203, D ,17, -   , D ,373,345,19,810
, Long Island ,"1,812","1,275",186,"4,453", -   ,12, D ,105,13,77, D ,131,76,309,40,196,"1,901","1,673",238,"4,885"
, New York  ,"4,814","3,713",759,"11,528", -   ,90,38,150,40,352,27,314,92,893,78,209,"4,946","5,048",902,"12,201"
, Queens ,"1,623","1,638",148,"3,819", -   ,59, D ,223, D ,124,12,260,23,49, D ,293,"1,652","1,870",177,"4,595"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charlotte  ,655,694,73,"1,300", -   ,11, D , D ,43,87, D ,132, D ,17, D ,15,703,809,86,"1,454"
, Raleigh ,588,906,184,"1,001", -   ,19, D , D ,17,23, D ,49, D ,19, D ,11,608,967,188,"1,068"
 Ohio ,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  ,197,190,11,452, -   , D , D , D , D ,42, D ,25, D , D , -   , D ,203,240,14,492
, Cleveland  ,350,330,52,621, -   ,18, D , D ,14,71, D ,30, D , D , -   , D ,365,425,56,657
, Columbus ,315,450,40,547, -   , D , D , D ,24,91, D ,51, D , D , D , D ,346,550,48,609
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  ,430,460,42,"1,340", -   ,10, -   ,20,13, D , -   ,73,14,26, D ,29,457,500,43,"1,462"
 Oregon ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,617,374,27,"1,749", -   ,16, D , D ,67, D , D ,155, D ,30, D , D ,688,424,34,"1,911"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,
, Philadelphia ,"1,475","1,199",195,"3,023", -   ,13, D ,64,54,89, D ,305, D ,30, D ,20,"1,533","1,331",209,"3,412"
, Pittsburgh  ,291,185,34,603, -   , D , D ,14, D , D , -   ,10, D , D , D ,19,302,207,37,646
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,
, Providence  ,246,211,19,454, -   , D , -   , -   , -   ,18, -   ,12, D ,21, D , -   ,248,252,20,466
 South Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charleston  ,347,331,44,746, -   ,11, -   , -   ,14,14, D ,28, D , D , -   ,12,367,364,48,786
 Tennessee ,,,,,,,,,,,,,,,,,,,,,
