,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA , 221 , 160 , 11 , 528 , - , D , D , D , D , 63 , - , 90 , D , D , D , 11 , 232 , 235 , 14 , 631 ,,,,,,,,,,,,,,,,,,,,,
 California ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE , 975 , 534 , 89 ," 2,189 ", - , D , - , D , D , D , D , 16 , D , D , D , 12 , 987 , 544 , 99 ," 2,224 ",,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP , 116 , 259 , D , 233 , - , - , - , - , D , 64 , - , 55 , - , D , - , D , 117 , 324 , D , 293 ,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ," 2,260 "," 1,777 ", 194 ," 5,224 ", - , 63 , 13 , 186 , 22 , 172 , D , 161 , 22 , 63 , 11 , 181 ," 2,304 "," 2,075 ", 227 ," 5,752 ",,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ," 2,701 "," 1,887 ", 303 ," 7,002 ", - , 31 , D , 125 , 41 , 171 , 13 , 314 , 18 , 46 , D , 38 ," 2,760 "," 2,135 ", 324 ," 7,479 ",,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC ," 1,118 "," 1,233 ", 109 ," 2,453 ", - , 14 , D , D , 10 , 411 , 12 , 85 , 11 , 10 , D , 15 ," 1,139 "," 1,668 ", 128 ," 2,560 ",,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ," 2,114 "," 1,811 ", 280 ," 4,537 ", - , 14 , D , 43 , 37 , 239 , D , 178 , D , 29 , D , 19 ," 2,157 "," 2,093 ", 293 ," 4,777 ",,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ," 1,681 "," 1,667 ", 132 ," 3,939 ", - , 26 , D , 66 , 27 , 44 , D , 93 , D , 25 , 10 , 45 ," 1,717 "," 1,762 ", 149 ," 4,143 ",,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ," 1,716 ", 816 , 103 ," 4,457 ", - , 13 , D , 59 , 12 , D , D , 69 , D , 26 , D , 18 ," 1,736 ", 862 , 109 ," 4,603 ",,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 2,500 "," 2,446 ", 136 ," 7,121 ", - , 92 , D , 108 , 20 , 104 , D , 201 , 54 , D , D , 102 ," 2,574 "," 2,650 ", 144 ," 7,532 ",,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ," 1,311 "," 1,091 ", 80 ," 4,388 ", - , 66 , D , 159 , 12 , 330 , D , 92 , 30 , D , - , 92 ," 1,353 "," 1,492 ", 92 ," 4,731 ",,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,961 "," 1,780 ", 199 ," 4,900 ", - , 58 , 11 , 129 , 13 , 114 , D , 81 , 22 , 21 , D , 26 ," 1,996 "," 1,973 ", 213 ," 5,136 ",,,,,,,,,,,,,,,,,,,,,
 Colorado ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,443 ", 858 , 127 ," 4,782 ", - , 22 , D , 61 , 104 , 12 , D , 202 , 17 , 25 , 14 , 97 ," 1,564 ", 917 , 149 ," 5,142 ",,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 982 , 557 , 135 ," 2,752 ", - , D , D , 88 , 13 , D , D , 52 , D , D , D , 15 , 997 , 576 , 140 ," 2,907 ",,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , - , 64 , - , 137 , - , - , - , - , - , - , - , - , - , - , - , - , - , 64 , - , 137 ,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 2,053 "," 1,503 ", 175 ," 7,670 ", - , 60 , 22 , 343 , 32 , 37 , D , 309 , 129 , 273 , 12 , 370 ," 2,214 "," 1,873 ", 213 ," 8,692 ",,,,,,,,,,,,,,,,,,,,,
 Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 445 , 255 , 32 ," 1,375 ", - , D , - , D , 800 , 107 , D ," 1,478 ", D , D , - , 18 ," 1,250 ", 370 , 38 ," 2,872 ",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 765 , 737 , 68 ," 2,046 ", - , 15 , D , 62 ," 4,159 ", 740 , 72 ," 6,651 ", D , 15 , D , 17 ," 4,925 "," 1,507 ", 149 ," 8,776 ",,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 642 , 353 , 56 ," 1,384 ", - , 10 , - , 20 , 194 , 51 , D , 459 , D , D , - , 15 , 839 , 415 , 57 ," 1,878 ",,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA , 746 , 693 , 103 ," 2,009 ", - , 11 , D , 19 ," 4,327 ", 855 , 88 ," 6,978 ", D , D , D , 29 ," 5,080 "," 1,566 ", 196 ," 9,035 ",,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM ," 1,334 "," 1,160 ", 187 ," 4,360 ", - , 17 , D , 54 ," 2,855 ", 669 , 98 ," 5,426 ", 12 , D , D , 49 ," 4,201 "," 1,851 ", 296 ," 9,889 ",,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,709 "," 1,162 ", 251 ," 5,675 ", - , 27 , D , 63 , 452 , 126 , 29 ," 1,021 ", 11 , 14 , D , 39 ," 2,172 "," 1,329 ", 286 ," 6,798 ",,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,530 ", 718 , 168 ," 4,527 ", - , D , D , 23 , 526 , 209 , 23 ," 1,051 ", 10 , D , D , 35 ," 2,066 ", 941 , 197 ," 5,636 ",,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,217 "," 1,242 ", 220 ," 3,276 ", - , 36 , D , 30 ," 1,652 ", 464 , 37 ," 3,036 ", 21 , 22 , D , 47 ," 2,890 "," 1,764 ", 265 ," 6,389 ",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,097 ", 443 , 141 ," 2,582 ", - , D , - , 17 , 718 , 106 , D ," 1,295 ", 12 , 16 , D , 97 ," 1,827 ", 573 , 152 ," 3,991 ",,,,,,,,,,,,,,,,,,,,,
 Georgia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 2,936 "," 1,645 ", 242 ," 8,132 ", - , 31 , D , 277 , 133 , 454 , D , 626 , 44 , 59 , - , 260 ," 3,113 "," 2,189 ", 252 ," 9,295 ",,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 358 , 309 , 32 , 772 , - , D , - , 10 , D , 42 , - , 65 , D , D , D , D , 363 , 362 , 36 , 853 ,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 215 , 500 , 22 , 619 , - , D , - , - , D , 204 , D , 156 , D , D , D , 13 , 222 , 711 , 25 , 788 ,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,970 "," 2,190 ", 333 ," 11,234 ", - , 41 , 11 , 198 , 89 , D , D , 228 , 20 , 33 , D , 107 ," 4,079 "," 2,273 ", 355 ," 11,767 ",,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 648 , 355 , 32 ," 1,454 ", - , 10 , D , 25 , 60 , 42 , D , 105 , D , D , D , 44 , 717 , 415 , 39 ," 1,628 ",,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 244 , 132 , 16 , 770 , - , D , D , 11 , 29 , D , D , 51 , D , 10 , - , 44 , 282 , 151 , 21 , 876 ,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 226 , 151 , 18 , 616 , - , D , D , D , 49 , D , D , 135 , D , D , D , D , 276 , 168 , 25 , 766 ,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 368 , 130 , 42 , 736 , - , D , - , D , 522 , 80 , D , 743 , 24 , 18 , 14 , 38 , 914 , 233 , 60 ," 1,525 ",,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 722 , 285 , 45 ," 1,943 ", - , D , D , 21 , 79 , 67 , - , 276 , 42 , 28 , D , 75 , 843 , 389 , 49 ," 2,315 ",,,,,,,,,,,,,,,,,,,,,
 Maine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 109 , 334 , D , 248 , - , D , - , D , - , 253 , - , 41 , D , D , D , D , 110 , 590 , D , 294 ,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 2,314 ", 591 , 135 ," 7,024 ", - , 42 , D , 210 , 32 , 21 , D , 194 , 98 , 66 , D , 233 ," 2,444 ", 720 , 151 ," 7,661 ",,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 2,136 "," 1,179 ", 209 ," 5,430 ", - , 36 , D , 67 , 18 , 25 , D , 138 , 61 , 50 , 18 , 113 ," 2,215 "," 1,290 ", 235 ," 5,748 ",,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 769 , 156 , 49 ," 1,792 ", - , 11 , - , 20 , D , D , D , 51 , D , 13 , - , 17 , 787 , 185 , 50 ," 1,880 ",,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,113 ", 797 , 113 ," 2,520 ", - , 12 , - , 37 , 62 , 81 , D , 138 , 10 , 13 , D , 100 ," 1,185 ", 903 , 123 ," 2,795 ",,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ," 1,034 ", 201 , 51 ," 3,507 ", - , D , - , 46 , 46 , 12 , D , 212 , 15 , 27 , D , 78 ," 1,095 ", 244 , 56 ," 3,843 ",,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 566 , 695 , 39 ," 1,624 ", - , D , D , D , 74 , 216 , D , 200 , D , D , - , 11 , 644 , 925 , 50 ," 1,840 ",,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 322 , 276 , 32 ," 1,163 ", - , D , - , 30 , D , 10 , - , 31 , D , D , - , 24 , 332 , 296 , 32 ," 1,248 ",,,,,,,,,,,,,,,,,,,,,
 Montana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 61 , 219 , D , 434 , - , - , - , D , D , 102 , D , 85 , - , - , - , - , 64 , 321 , D , 521 ,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 260 , 441 , 35 ," 1,104 ", - , D , - , - , 267 , 186 , D , 749 , 12 , 14 , - , 24 , 539 , 644 , 43 ," 1,877 ",,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ," 1,027 ", 751 , 134 ," 3,405 ", - , 18 , D , D , 600 , 102 , 10 ," 1,103 ", 16 , 44 , D , 30 ," 1,643 ", 915 , 151 ," 4,545 ",,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 143 , 442 , 13 , 776 , - , - , - , D , D , 293 , D , 214 , D , D , - , D , 148 , 736 , 16 , 993 ,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 154 , 160 , 17 , 347 , - , D , - , D , D , 90 , D , 25 , D , D , - , D , 161 , 259 , 19 , 382 ,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 776 , 981 , 54 ," 1,912 ", - , 15 , D , 46 , D , 358 , D , 117 , D , 20 , - , 12 , 790 ," 1,374 ", 62 ," 2,087 ",,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,711 "," 2,556 ", 329 ," 12,722 ", - , 71 , 17 , 269 , 276 ," 1,117 ", 22 ," 1,358 ", 59 , 30 , D , 116 ," 4,046 "," 3,774 ", 374 ," 14,465 ",,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 344 , 307 , 10 , 719 , - , D , D , D , 31 , 73 , - , 133 , D , D , - , D , 377 , 388 , 11 , 858 ,,,,,,,,,,,,,,,,,,,,,
 New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 203 , 154 , 13 , 473 , - , D , - , 20 , D , D , D , 18 , D , D , - , D , 210 , 167 , 14 , 518 ,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 325 , 443 , 47 , 683 , - , D , D , 28 , 102 , 222 , 10 , 211 , D , 11 , - , 12 , 430 , 683 , 58 , 934 ,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 2,556 "," 1,354 ", 153 ," 9,037 ", - , 35 , D , 146 , 11 , 106 , D , 146 , 87 , 71 , 32 , 396 ," 2,654 "," 1,566 ", 190 ," 9,725 ",,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 6,207 "," 3,754 ", 650 ," 21,573 ", - , 110 , 19 , 288 , 37 , 372 , 25 , 708 , 124 , 242 , 51 , 489 ," 6,368 "," 4,478 ", 745 ," 23,058 ",,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 2,170 "," 1,188 ", 209 ," 7,179 ", - , 42 , D , 122 , 22 , 192 , D , 311 , 29 , 93 , D , 146 ," 2,221 "," 1,515 ", 232 ," 7,758 ",,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 891 , 586 , 83 ," 2,320 ", - , 14 , - , 17 , 94 , 121 , D , 243 , 15 , D , D , 77 ," 1,000 ", 728 , 90 ," 2,657 ",,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 813 , 723 , 66 ," 1,578 ", - , 10 , - , 13 , 41 , 107 , D , 108 , 10 , 25 , D , 65 , 864 , 865 , 71 ," 1,764 ",,,,,,,,,,,,,,,,,,,,,
 Ohio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 307 , 211 , 18 , 633 , - , D , D , 13 , 17 , 18 , D , 36 , D , D , D , 15 , 331 , 241 , 26 , 697 ,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 373 , 212 , 36 , 778 , - , D , - , D , 23 , 11 , D , 39 , D , D , D , 18 , 401 , 226 , 39 , 836 ,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 421 , 190 , 46 , 805 , - , - , D , 12 , 13 , 13 , D , 33 , D , D , - , 28 , 440 , 211 , 48 , 878 ,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 561 , 501 , 35 ," 1,476 ", - , 15 , D , 18 , 25 , 39 , - , 75 , D , 16 , D , 51 , 593 , 571 , 37 ," 1,620 ",,,,,,,,,,,,,,,,,,,,,
 Oregon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO , 833 , 472 , 41 ," 2,175 ", - , 12 , - , 29 , 72 , 47 , D , 161 , D , D , - , 25 , 910 , 537 , 42 ," 2,390 ",,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ," 1,959 "," 2,364 ", 149 ," 5,184 ", - , 16 , D , 88 , 74 , 923 , 10 , 291 , 17 , 22 , - , 54 ," 2,050 "," 3,325 ", 162 ," 5,617 ",,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT , 367 , 223 , 31 , 802 , - , D , - , 14 , D , 55 , D , 50 , 10 , D , - , 11 , 383 , 292 , 34 , 877 ,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO , 364 , 413 , 42 , 787 , - , D , - , D , D , 114 , D , 32 , D , 11 , D , 19 , 376 , 541 , 45 , 840 ,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL , 368 , 304 , 32 , 820 , - , D , - , 50 , 25 , 96 , - , 99 , D , D , D , 13 , 400 , 410 , 33 , 982 ,,,,,,,,,,,,,,,,,,,,,
, Greer , GRR , 205 , 91 , 14 , 360 , - , D , - , D , D , D , - , 14 , D , D , D , 13 , 212 , 105 , 15 , 388 ,,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ," 1,026 ", 416 , 44 ," 2,407 ", - , 13 , D , 51 , 70 , 50 , D , 218 , 42 , 35 , D , 50 ," 1,138 ", 514 , 48 ," 2,726 ",,,,,,,,,,,,,,,,,,,,,
 Texas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ," 3,546 "," 3,562 ", 354 ," 11,005 ", - , 89 , 17 , 183 , 302 , 44 , 11 , 600 , 41 , 58 , D , 629 ," 3,889 "," 3,753 ", 386 ," 12,417 ",,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP , 886 , 694 , 61 ," 2,333 ", - , D , D , 12 , 90 , 62 , - , 176 , D , 16 , - , 21 , 981 , 773 , 63 ," 2,542 ",,,,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG , 956 , 918 , 50 ," 2,460 ", - , D , - , 12 , 27 , 167 , D , 121 , D , 17 , D , 81 , 986 ," 1,106 ", 55 ," 2,674 ",,,,,,,,,,,,,,,,,,,,,
, Houston  , HOU ," 3,880 "," 1,626 ", 345 ," 15,988 ", - , 47 , 11 , 265 ," 1,631 ", 152 , 21 ," 3,123 ", 56 , 51 , 25 , 335 ," 5,567 "," 1,876 ", 402 ," 19,711 ",,,,,,,,,,,,,,,,,,,,,
, San Antonio  , SNA ," 2,036 ", 739 , 118 ," 5,795 ", - , 34 , D , 56 , 466 , 29 , D , 908 , 29 , 47 , 16 , 176 ," 2,531 ", 849 , 138 ," 6,935 ",,,,,,,,,,,,,,,,,,,,,
 Utah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC , 762 , 484 , 62 ," 1,593 ", - , D , D , 28 , 23 , 13 , D , 68 , D , 10 , D , 24 , 790 , 516 , 69 ," 1,713 ",,,,,,,,,,,,,,,,,,,,,
 Vermont ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA , 56 , 115 , D , 205 , - , D , - , D , D , 48 , - , 14 , D , D , - , D , 63 , 166 , D , 221 ,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR , 556 , 421 , 65 ," 1,569 ", - , 20 , D , 58 , 30 , 139 , D , 84 , 26 , 25 , D , 45 , 612 , 605 , 75 ," 1,756 ",,,,,,,,,,,,,,,,,,,,,
 Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ," 1,492 ", 933 , 96 ," 3,992 ", - , 30 , D , 77 , 28 , 23 , D , 152 , 13 , 34 , D , 41 ," 1,533 "," 1,020 ", 105 ," 4,262 ",,,,,,,,,,,,,,,,,,,,,
, Spokane  , SPO , 108 , 189 , 11 , 360 , - , 11 , - , D , - , 71 , - , 28 , - , D , D , D , 108 , 273 , 14 , 392 ,,,,,,,,,,,,,,,,,,,,,
, Yakima , YAK , 217 , 265 , 17 , 500 , - , D , - , - , 15 , 37 , - , 27 , D , D , - , D , 233 , 305 , 17 , 531 ,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,, 469 , 228 , 35 ," 1,190 ", - , D , - , 14 , D , 26 , - , 41 , 10 , 14 , D , 24 , 486 , 271 , 37 ," 1,269 ",,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,, D , 11 , - , 370 , 854 , 235 , 21 ," 1,904 ", - , - , - , 10 , - , - , - , - , 862 , 246 , 21 ," 2,284 ",,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,
, Christiansted  , CHR , - , - , - , - ," 26,268 "," 14,378 ", 526 ," 75,657 "," 20,795 "," 16,162 ", 363 ," 42,636 ", - , - , - , - ," 47,063 "," 30,540 ", 889 ," 118,293 ",,,,,,,,,,,,,,,,,,,,,
 Puerto Rico ,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ , - , - , - , - ," 16,283 "," 17,102 ", 734 ," 55,985 "," 5,337 "," 3,372 ", 181 ," 15,164 ", - , D , D , 15 ," 21,620 "," 20,480 ", 919 ," 71,164 ",,,,,,,,,,,,,,,,,,,,,
,,, 29 , - , 12 , 180 , D , - , - , 39 , D , D , D , 32 ," 8,511 "," 4,467 ", 752 ," 19,819 "," 8,543 "," 4,468 ", 765 ," 20,070 ",,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, California , WSC , 192 , 186 , D , 430 , - , D , - , D , - , 19 , - , D , D , D , D , D , 193 , 210 , D , 443 ,,,,,,,,,,,,,,,,,,,,,
, Nebraska , NSC , 190 , 192 , 27 , 499 , - , - , - , - , 13 , 48 , D , 83 , - , - , - , D , 203 , 240 , 30 , 585 ,,,,,,,,,,,,,,,,,,,,,
, Texas , SSC , 30 , 145 , D , 87 , - , - , D , - , - , 49 , D , 33 , - , - , - , D , 30 , 194 , 10 , 123 ,,,,,,,,,,,,,,,,,,,,,
, Vermont , ESC , 18 , - , - , 45 , - , - , - , - , - , - , - , - , - , - , - , - , 18 , - , - , 45 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 94,564 "," 67,416 "," 8,499 "," 271,136 "," 43,407 "," 33,259 "," 1,531 "," 138,114 "," 48,065 "," 32,447 "," 1,210 "," 102,970 "," 9,983 "," 6,441 "," 1,092 "," 25,510 "," 196,019 "," 139,563 "," 12,332 "," 537,730 ",,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
